seed,transfer,raw,dataset
0,0.4302700125641247,-0.14241942047554668,pdo_to_pdx
1,-0.36701235161580165,-0.3151720301663304,pdo_to_pdx
2,0.4853662502524737,0.22537591810962593,pdo_to_pdx
3,0.6631064729659648,-0.07254293864680737,pdo_to_pdx
4,0.4840145445777807,0.07411231524979003,pdo_to_pdx
5,0.031016286316746633,-0.12956392177291662,pdo_to_pdx
6,0.2767095815615801,0.004009446681939825,pdo_to_pdx
7,0.3459465538496894,-0.00988709832152442,pdo_to_pdx
8,0.164484667652325,0.3094525366504304,pdo_to_pdx
9,0.3596243524703872,0.058670962971539994,pdo_to_pdx
