,Sample,Control,Drug,MID,start,start_vol,end,end_vol,duration,log_V_V0,log_V_V0_sm,log_V_V0_cen
0,HCI-010,0,Navitoclax,0,1.0,163.9208,22.0,230.687446,21.0,0.4929405643445782,0.044033294737865436,0.4489072696067128
1,HCI-010,0,Navitoclax,1,1.0,119.79456299999998,22.0,111.58711100000001,21.0,-0.10239203479841548,0.044033294737865436,-0.1464253295362809
2,HCI-010,0,Navitoclax,2,1.0,132.02702549999998,22.0,110.372796,21.0,-0.25844864533256645,0.044033294737865436,-0.3024819400704319
3,HCI-010,1,Vehicle,3,1.0,159.2693275,22.0,261.789003,21.0,0.7169360394417084,0.893129372514016,-0.17619333307230767
4,HCI-010,1,Vehicle,4,1.0,222.6064,22.0,475.21549400000004,21.0,1.0940868035730789,0.893129372514016,0.20095743105906283
5,HCI-010,1,Vehicle,5,1.0,176.73163200000002,22.0,353.835756,21.0,1.001519562153084,0.893129372514016,0.10839018963906788
6,HCI-010,1,Vehicle,6,1.0,153.277944,22.0,295.61175,21.0,0.9475535003168524,0.893129372514016,0.05442412780283634
7,HCI-010,1,Vehicle,7,1.0,98.90740799999999,22.0,135.35999099999998,21.0,0.45265089204893855,0.893129372514016,-0.4404784804650775
8,HCI-010,1,Vehicle,8,1.0,233.615313,22.0,517.0,21.0,1.1460294375504338,0.893129372514016,0.2529000650364178
9,HCI-024,0,Navitoclax,9,1.0,285.77,22.0,367.335,21.0,0.36224189292664044,0.32055859821211047,0.04168329471452997
10,HCI-024,0,Navitoclax,10,1.0,176.157,22.0,213.0164,21.0,0.2741027021714411,0.32055859821211047,-0.04645589604066935
11,HCI-024,0,Navitoclax,11,1.0,246.40200000000002,22.0,308.72989,21.0,0.32533119953824996,0.32055859821211047,0.004772601326139492
12,HCI-024,1,Vehicle,12,1.0,243.08900000000003,22.0,337.949498,21.0,0.4753230597038975,0.3899491786837139,0.08537388102018356
13,HCI-024,1,Vehicle,13,1.0,149.504,22.0,226.7277125,21.0,0.6007766553026271,0.3899491786837139,0.2108274766189132
14,HCI-024,1,Vehicle,14,1.0,173.95,22.0,231.5178315,21.0,0.4124506351579917,0.3899491786837139,0.02250145647427776
