,MID,Sample,Drug,start_vol,end_vol,duration,V_V0,log(V_V0+1),log(V_V0+1)_sm,log(V_V0+1)_cen
0,0,HCI-010,Navitoclax,163.9208,230.687446,21.0,1.4073103962401354,1.2674221734888569,1.03122990256842,0.23619227092043693
1,1,HCI-010,Navitoclax,119.794563,111.587111,21.0,0.931487274593589,0.9497121725523965,1.03122990256842,-0.08151773001602347
2,2,HCI-010,Navitoclax,132.0270255,110.372796,21.0,0.8359863867417053,0.8765553616640068,1.03122990256842,-0.15467454090441313
3,3,HCI-024,Navitoclax,285.77,367.335,21.0,1.2854218427406656,1.1924604822460507,1.169276129625829,0.023184352620221782
4,4,HCI-024,Navitoclax,176.157,213.0164,21.0,1.2092417559336273,1.1435513005412914,1.169276129625829,-0.025724829084537548
5,5,HCI-024,Navitoclax,246.402,308.72989,21.0,1.252952045843784,1.1718166060901447,1.169276129625829,0.0025404764643157662
6,6,HCI-015,Navitoclax,199.1195,566.65268,21.0,2.8457919992768166,1.9432807362278126,1.6292251994313014,0.3140555367965112
7,7,HCI-015,Navitoclax,131.072,242.709578,21.0,1.8517271270751952,1.511835941371754,1.6292251994313014,-0.11738925805954747
8,8,HCI-015,Navitoclax,141.312,240.1245,21.0,1.6992505944293477,1.4325589206943377,1.6292251994313014,-0.19666627873696374
9,9,HCI-027,Navitoclax,152.1,562.306369,21.0,3.696951801446417,2.231724789216095,2.1942956158600886,0.03742917335600637
10,10,HCI-027,Navitoclax,157.115,862.9832715,21.0,5.492685431053687,2.698815312853063,2.1942956158600886,0.5045196969929746
11,11,HCI-027,Navitoclax,219.04,469.5003,21.0,2.143445489408327,1.6523467455111076,2.1942956158600886,-0.541948870348981
12,12,HCI-002,Navitoclax,267.385952,928.08,21.0,3.470937770133863,2.1605774655083625,2.0031328472916803,0.1574446182166822
13,13,HCI-002,Navitoclax,180.002988,687.587868,21.0,3.819869190171443,2.2689939926685523,2.0031328472916803,0.265861145376872
14,14,HCI-002,Navitoclax,107.595104,214.043264,21.0,1.989340184103544,1.579827083698126,2.0031328472916803,-0.4233057635935542
15,15,HCI-002,Vehicle,127.977608,482.2335,21.0,3.768108402213612,2.2534170356235266,3.3271457988287794,-1.0737287632052528
16,16,HCI-002,Vehicle,242.0734865,1195.42212,21.0,4.938261258115931,2.570040567136758,3.3271457988287794,-0.7571052316920213
17,17,HCI-002,Vehicle,180.50552,967.903125,21.0,5.362180198145741,2.6695212343875774,3.3271457988287794,-0.657624564441202
18,18,HCI-002,Vehicle,150.504858,1347.521759,21.0,8.953343944552273,3.3151812976907147,3.3271457988287794,-0.011964501138064687
19,19,HCI-002,Vehicle,242.764478,875.691675,21.0,3.607165604351721,2.203879456479785,3.3271457988287794,-1.1232663423489946
20,20,HCI-002,Vehicle,202.335246,863.09145,21.0,4.265650533273871,2.3966117768639057,3.3271457988287794,-0.9305340219648737
21,149,HCI-002,Vehicle,123.0,2884.0,32.0,23.447154471544714,4.611594647234763,3.3271457988287794,1.2844488484059835
22,150,HCI-002,Vehicle,167.0,2780.0,32.0,16.646706586826348,4.141327052649948,3.3271457988287794,0.8141812538211686
23,151,HCI-002,Vehicle,167.0,2145.0,32.0,12.844311377245509,3.7912213900266267,3.3271457988287794,0.46407559119784736
24,152,HCI-002,Vehicle,148.0,1600.0,32.0,10.81081081081081,3.5620361038716486,3.3271457988287794,0.23489030504286923
25,153,HCI-002,Vehicle,155.0,2080.0,28.0,13.419354838709678,3.849934710796443,3.3271457988287794,0.5227889119676634
26,196,HCI-002,Vehicle,90.0528276849635,1701.78684337272,21.0,18.89765026953034,4.314526166628706,3.3271457988287794,0.9873803677999269
27,197,HCI-002,Vehicle,112.688916229733,937.476460370106,21.0,8.31915410792417,3.2201990085612087,3.3271457988287794,-0.1069467902675707
28,199,HCI-002,Vehicle,96.2615834001003,1138.00557418436,21.0,11.82201179316124,3.6805507356512943,3.3271457988287794,0.35340493682251495
29,30,HCI-015,Docetaxel,199.584,100.5723,21.0,0.503909632034632,0.588717879959435,0.6232071643609453,-0.03448928440151022
30,31,HCI-015,Docetaxel,105.5925,49.800672,21.0,0.4716307692307692,0.5574157459740647,0.6232071643609453,-0.06579141838688052
31,32,HCI-015,Docetaxel,107.648,70.09705,21.0,0.6511690881391201,0.7234878671493362,0.6232071643609453,0.10028070278839096
32,33,HCI-015,Vehicle,138.915,389.207,21.0,2.8017636684303353,1.9266688515601555,2.395393533821151,-0.4687246822609956
33,34,HCI-015,Vehicle,178.85,433.2,21.0,2.4221414593234556,1.7748993970121154,2.395393533821151,-0.6204941368090358
34,35,HCI-015,Vehicle,121.086,343.901538,21.0,2.8401428571428573,1.9411599816386083,2.395393533821151,-0.4542335521825429
35,36,HCI-015,Vehicle,130.235,106.1705,21.0,0.8152224824355971,0.8601463827310185,2.395393533821151,-1.5352471510901327
36,37,HCI-015,Vehicle,124.6535,313.227576,21.0,2.5127860509331867,1.8126157107313075,2.395393533821151,-0.5827778230898437
37,38,HCI-015,Vehicle,291.9645,573.3874935,21.0,1.9638945608113316,1.567494125342696,2.395393533821151,-0.8278994084784552
