Study,Group,Drug,Control,MID,V0,V,duration,V/V0,V/V0_sm,V/V0_cen,C0,V/C0,V/C0_sm,V/C0_cen,lg_V/C0,lg_V/C0_sm,lg_V/C0_cen,log_V/V0,log_V/V0_sm,log_V/V0_cen
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,74.6,477.0,26.0,6.394101876675604,3.8678257269239302,2.526276149751674,134.99,3.5335950811171197,4.063716653908519,-0.530121572791399,1.2623157892676056,1.2919896673837443,-0.029673878116138752,2.6767417306376364,1.878661759808669,0.7980799708289674
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,127.2,240.22,26.0,1.8885220125786164,3.8678257269239302,-1.9793037143453138,134.99,1.779539225127787,4.063716653908519,-2.2841774287807315,0.5763544685056085,1.2919896673837443,-0.7156351988781359,0.9172575999035419,1.878661759808669,-0.9614041599051271
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,93.28,359.41,26.0,3.853023156089194,3.8678257269239302,-0.01480257083473635,134.99,2.662493518038373,4.063716653908519,-1.4012231358701457,0.9792630964930018,1.2919896673837443,-0.3127265708907425,1.9459908564035517,1.878661759808669,0.06732909659488273
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,84.87,293.32,26.0,3.456109343702132,3.8678257269239302,-0.41171638322179804,134.99,2.172901696421957,4.063716653908519,-1.8908149574865618,0.776063461604863,1.2919896673837443,-0.5159262057788814,1.7891488619230733,1.878661759808669,-0.08951289788559569
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,215.07,1131.67,26.0,5.261868228948715,3.8678257269239302,1.3940425020247846,134.99,8.383361730498555,4.063716653908519,4.319645076590036,2.126248995207713,1.2919896673837443,0.8342593278239687,2.3955751200692577,1.878661759808669,0.5169133602605887
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,155.58,519.25,26.0,3.3375112482324205,3.8678257269239302,-0.5303144786915097,134.99,3.8465812282391285,4.063716653908519,-0.21713542566939026,1.347184761135486,1.2919896673837443,0.055195093751741586,1.7387726990449215,1.878661759808669,-0.13988906076374752
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,186.96,589.56,26.0,3.153401797175866,3.8678257269239302,-0.7144239297480643,134.99,4.367434624787021,4.063716653908519,0.30371797087850183,1.4741757943478213,1.2919896673837443,0.182186126964077,1.6569090056893487,1.878661759808669,-0.22175275411932027
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,256.26,865.76,26.0,3.378443768048076,3.8678257269239302,-0.4893819588758541,134.99,6.413512112008297,4.063716653908519,2.349795458099778,1.8584070322736894,1.2919896673837443,0.5664173648899451,1.7563588426191536,1.878661759808669,-0.12230291718951536
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,112.75,460.86,26.0,4.087450110864745,3.8678257269239302,0.21962438394081518,134.99,3.4140306689384396,4.063716653908519,-0.6496859849700791,1.2278936076179099,1.2919896673837443,-0.06409605976583443,2.031201121987536,1.878661759808669,0.15253936217886688
TM00096,Group 1 D5W,D5W,1.0,851_17,92.72,3358.91,26.0,36.226380500431404,18.25051059426959,17.975869906161815,134.99,24.882657974664788,16.491916067856877,8.39074190680791,3.214171093944002,2.6743854746622246,0.5397856192817772,5.178968763363218,3.972604624650054,1.2063641387131643
TM00096,Group 1 D5W,D5W,1.0,851_43,63.37,566.66,26.0,8.942086160643838,18.25051059426959,-9.308424433625751,134.99,4.197792429068819,16.491916067856877,-12.294123638788058,1.434558774980375,2.6743854746622246,-1.2398266996818497,3.1606114469021076,3.972604624650054,-0.8119931777479463
TM00096,Group 1 D5W,D5W,1.0,851_44,181.84,2007.93,26.0,11.042289925208975,18.25051059426959,-7.208220669060614,134.99,14.874657382028298,16.491916067856877,-1.6172586858285793,2.699658918025472,2.6743854746622246,0.025273443363247328,3.464967480877189,3.972604624650054,-0.5076371437728651
TM00096,Group 1 D5W,D5W,1.0,851_45,122.69,1465.7,26.0,11.946368897220639,18.25051059426959,-6.30414169704895,134.99,10.857841321579375,16.491916067856877,-5.634074746277502,2.3848875214125194,2.6743854746622246,-0.2894979532497053,3.57850027208709,3.972604624650054,-0.3941043525629637
TM00096,Group 1 D5W,D5W,1.0,851_58,229.25,2577.7,26.0,11.244056706652126,18.25051059426959,-7.006453887617463,134.99,19.095488554707753,16.491916067856877,2.603572486850876,2.9494521058284566,2.6743854746622246,0.275066631166232,3.4910907296164693,3.972604624650054,-0.48151389503358466
TM00096,Group 1 D5W,D5W,1.0,851_65,88.3,2319.11,26.0,26.263986409966027,18.25051059426959,8.013475815696438,134.99,17.179865175198163,16.491916067856877,0.6879491073412858,2.843738068748724,2.6743854746622246,0.1693525940864995,4.715014003403138,3.972604624650054,0.7424093787530843
TM00096,Group 1 D5W,D5W,1.0,851_72,177.62,1682.46,26.0,9.47224411665353,18.25051059426959,-8.778266477616059,134.99,12.463589895547818,16.491916067856877,-4.028326172309059,2.522811585469921,2.6743854746622246,-0.15157388919230375,3.2437062622746304,3.972604624650054,-0.7288983623754235
TM00096,Group 1 D5W,D5W,1.0,851_75,124.13,3831.48,26.0,30.866672037380166,18.25051059426959,12.616161443110578,134.99,28.383435810060003,16.491916067856877,11.891519742203126,3.3458057288883274,2.6743854746622246,0.6714202542261027,4.94797803867659,3.972604624650054,0.975373414026536
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_05,251.17,487.04,26.0,1.9390850818170962,1.4442239525219376,0.4948611292951586,134.99,3.6079709608119117,1.5131573532195801,2.0948136075923314,1.2831455536125307,-0.21112137436459738,1.4942669279771281,0.9553761063960459,-0.2953410547179493,1.2507171611139951
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_15,85.03,44.69,26.0,0.5255792073385863,1.4442239525219376,-0.9186447451833513,134.99,0.3310615601155641,1.5131573532195801,-1.1820957931040161,-1.1054509386753757,-0.21112137436459738,-0.8943295643107783,-0.9280198931671347,-0.2953410547179493,-0.6326788384491855
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_29,185.91,30.58,26.0,0.16448819321176913,1.4442239525219376,-1.2797357593101684,134.99,0.2265352989110304,1.5131573532195801,-1.2866220543085496,-1.4848545011198195,-0.21112137436459738,-1.273733126755222,-2.6039440623319616,-0.2953410547179493,-2.3086030076140123
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_31,92.9,164.53,26.0,1.7710441334768567,1.4442239525219376,0.32682018095491916,134.99,1.2188310245203349,1.5131573532195801,-0.29432632869924524,0.1978922227778231,-0.21112137436459738,0.40901359714242047,0.8246001637300678,-0.2953410547179493,1.119941218448017
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_34,160.0,666.5,26.0,4.165625,1.4442239525219376,2.7214010474780626,134.99,4.937402770575598,1.5131573532195801,3.4242454173560173,1.5968394379980275,-0.21112137436459738,1.807960812362625,2.058532970201611,-0.2953410547179493,2.3538740249195604
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_41,217.54,152.58,26.0,0.7013882504367014,1.4442239525219376,-0.7428357020852362,134.99,1.1303059485887843,1.5131573532195801,-0.3828514046307958,0.12248834704134756,-0.21112137436459738,0.3336097214059449,-0.5117148319309162,-0.2953410547179493,-0.21637377721296686
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_42,121.43,19.98,26.0,0.16453924071481513,1.4442239525219376,-1.2796847118071224,134.99,0.14801096377509446,1.5131573532195801,-1.3651463894444857,-1.9104689284003282,-0.21112137436459738,-1.6993475540357308,-2.6034964037327604,-0.2953410547179493,-2.308155349014811
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_55,70.99,228.71,26.0,3.221721369206931,1.4442239525219376,1.7774974166849933,134.99,1.6942736498999926,1.5131573532195801,0.18111629668041251,0.5272541238565321,-0.21112137436459738,0.7383754982211295,1.6878317278602792,-0.2953410547179493,1.9831727825782286
TM00096,Group 2 Docetaxel,Docetaxel,0.0,851_80,126.95,43.74,26.0,0.34454509649468296,1.4442239525219376,-1.0996788560272546,134.99,0.32402400177790947,1.5131573532195801,-1.1891333514416706,-1.126937686372114,-0.21112137436459738,-0.9158163120075165,-1.5372352694867748,-0.2953410547179493,-1.2418942147688254
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,139.75,835.01,26.0,5.9750268336314845,7.967042544242282,-1.9920157106107972,149.72750000000002,5.576864637424654,7.700898298575745,-2.124033661151091,1.7186267255375756,1.8324591162193844,-0.11383239068180884,2.5789451921996864,2.7941118854906106,-0.2151666932909242
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,218.43,3081.38,26.0,14.106945016710158,7.967042544242282,6.139902472467877,149.72750000000002,20.579920188342154,7.700898298575745,12.87902188976641,3.0243158522808984,1.8324591162193844,1.191856736061514,3.818333688319388,2.7941118854906106,1.0242218028287775
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,171.71,379.15,26.0,2.2080833964242035,7.967042544242282,-5.758959147818079,149.72750000000002,2.5322669516287917,7.700898298575745,-5.168631346946953,0.9291149298574726,1.8324591162193844,-0.9033441863619118,1.14279466185137,2.7941118854906106,-1.6513172236392406
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,160.13,1710.76,26.0,10.683569599700244,7.967042544242282,2.716527055457962,149.72750000000002,11.425823579502762,7.700898298575745,3.7249252809270166,2.4358760199155003,1.8324591162193844,0.6034169036961159,3.4173218564592203,2.7941118854906106,0.6232099709686096
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,89.71,449.38,26.0,5.00925203433285,7.967042544242282,-2.9577905099094313,149.72750000000002,3.001319062964385,7.700898298575745,-4.69957923561136,1.0990518796886126,1.8324591162193844,-0.7334072365307718,2.324595200842116,2.7941118854906106,-0.46951668464849483
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,78.8,877.75,26.0,11.138959390862945,7.967042544242282,3.1719168466206638,149.72750000000002,5.862316541717453,7.700898298575745,-1.838581756858292,1.7685448397590697,1.8324591162193844,-0.06391427646031467,3.4775425563117413,2.7941118854906106,0.6834306708211306
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,102.63,982.07,26.0,9.569034395400957,7.967042544242282,1.601991851158675,149.72750000000002,6.559048938905678,7.700898298575745,-1.1418493596700667,1.880845613620198,1.8324591162193844,0.04838649740081369,3.2583733507038666,2.7941118854906106,0.46426146521325595
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,180.12,908.79,26.0,5.045469686875416,7.967042544242282,-2.921572857366866,149.72750000000002,6.069626488120083,7.700898298575745,-1.6312718104556616,1.803297069095749,1.8324591162193844,-0.02916204712363535,2.3349885772374983,2.7941118854906106,-0.4591233082531123
TM00091,Group 1 IV D5W,D5W,1.0,901-04,196.65,1781.06,26.0,9.057004830917874,15.9815452002458,-6.924540369327925,149.72750000000002,11.895343206825732,14.523384147868624,-2.628040941042892,2.476146996371529,2.5465057557312045,-0.07035875935967573,3.1790340270923365,3.791660879045995,-0.6126268519536584
TM00091,Group 1 IV D5W,D5W,1.0,901-10,125.7,3646.03,26.0,29.005807478122517,15.9815452002458,13.024262277876717,149.72750000000002,24.351104506520176,14.523384147868624,9.827720358651552,3.1925772081105674,2.5465057557312045,0.6460714523793629,4.858269877233681,3.791660879045995,1.0666089981876863
TM00091,Group 1 IV D5W,D5W,1.0,901-19,75.13,1789.95,26.0,23.82470384666578,15.9815452002458,7.843158646419981,149.72750000000002,11.95471773722262,14.523384147868624,-2.5686664106460046,2.4811259901943026,2.5465057557312045,-0.06537976553690195,4.5743863756919545,3.791660879045995,0.7827254966459596
TM00091,Group 1 IV D5W,D5W,1.0,901-21,128.88,2681.87,26.0,20.80904717566729,15.9815452002458,4.827501975421489,149.72750000000002,17.91167287238483,14.523384147868624,3.3882887245162063,2.885452616087299,2.5465057557312045,0.33894686035609434,4.379139001987967,3.791660879045995,0.5874781229419717
TM00091,Group 1 IV D5W,D5W,1.0,901-28,170.86,891.87,26.0,5.219887627297202,15.9815452002458,-10.761657572948597,149.72750000000002,5.956621195171227,14.523384147868624,-8.566762952697397,1.784503406759131,2.5465057557312045,-0.7620023489720735,2.384018749077519,3.791660879045995,-1.407642129968476
TM00091,Group 1 IV D5W,D5W,1.0,901-34,168.21,1282.87,26.0,7.62659770524939,15.9815452002458,-8.35494749499641,149.72750000000002,8.568031924663137,14.523384147868624,-5.955352223205487,2.1480380591729524,2.5465057557312045,-0.3984676965582521,2.931039601167405,3.791660879045995,-0.86062127787859
TM00091,Group 1 IV D5W,D5W,1.0,901-40,73.91,1212.77,26.0,16.408740359897173,15.9815452002458,0.4271951596513741,149.72750000000002,8.0998480573041,14.523384147868624,-6.423536090564523,2.0918453031449347,2.5465057557312045,-0.45466045258626986,4.036392587469593,3.791660879045995,0.24473170842359826
