Study,Group,Drug,Control,MID,start,start_size,end,end_size,duration
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-16,0.0,125.53,28.0,187.97,28.0
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-22,0.0,108.82,28.0,104.98,28.0
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-30,0.0,88.63,28.0,109.71,28.0
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-38,0.0,109.63,28.0,124.69,28.0
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-39,0.0,91.53,28.0,119.69,28.0
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-4,0.0,77.55,28.0,140.9,28.0
TM00355,Grp3- IV Cisplatin,Cisplatin,0.0,0551-40,0.0,109.6,28.0,131.14,28.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-02,-1.0,132.91,28.0,131.25,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-06,-1.0,200.08,28.0,589.85,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-28,-1.0,93.18,28.0,152.19,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-29,-1.0,183.98,28.0,537.85,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-34,-1.0,134.15,28.0,215.42,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-42,-1.0,210.52,28.0,312.34,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-46,-1.0,89.87,28.0,166.54,29.0
TM00193,Group 3 IV Cisplatin,Cisplatin,0.0,591-50,-1.0,88.4,28.0,226.71,29.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_07,0.0,154.99,28.0,235.37,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_16,0.0,161.98,28.0,414.77,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_17,0.0,111.75,28.0,567.66,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_20,0.0,94.69,24.0,124.46,24.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_23,0.0,77.21,28.0,659.62,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_29,0.0,195.13,7.0,487.03,7.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_31,0.0,78.24,28.0,172.71,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_43,0.0,93.47,28.0,589.06,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_60,0.0,104.08,28.0,316.3,28.0
TM00212,Grp3_Cisplatin,Cisplatin,0.0,978_64,0.0,188.06,28.0,384.72,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_10,-1.0,124.69,27.0,639.75,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_11,-1.0,231.03,27.0,435.76,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_12,-1.0,240.83,27.0,412.95,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_15,-1.0,170.29,27.0,308.85,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_16,-1.0,96.88,27.0,369.41,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_18,-1.0,280.37,27.0,421.82,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_24,-1.0,170.2,27.0,394.4,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_27,-1.0,118.88,27.0,330.05,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_30,-1.0,213.11,27.0,542.6,28.0
TM00214,Cisplatin,Cisplatin,0.0,011_8,-1.0,190.63,27.0,693.41,28.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_23,0.0,105.28,28.0,345.83,28.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_27,0.0,199.55,24.0,717.75,24.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_29,0.0,139.61,24.0,258.87,24.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_39,0.0,232.38,24.0,710.36,24.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_43,0.0,151.99,28.0,1141.57,28.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_46,0.0,71.39,28.0,234.27,28.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_51,0.0,112.19,24.0,500.53,24.0
TM00222,Grp3 IV Cisplatin,Cisplatin,0.0,102_54,0.0,85.35,28.0,446.89,28.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_04,-1.0,80.5,10.0,153.27,11.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_07,-1.0,133.97,28.0,218.27,29.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_09,-1.0,165.96,28.0,411.69,29.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_14,-1.0,158.82,14.0,214.43,15.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_16,-1.0,116.93,28.0,165.79,29.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_18,-1.0,113.58,28.0,211.63,29.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_25,-1.0,86.13,28.0,302.23,29.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_33,-1.0,234.4,3.0,161.39,4.0
TM00233,Grp3 IV Cisplatin,Cisplatin,0.0,202_50,-1.0,211.29,28.0,284.63,29.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-05,0.0,86.61,26.0,170.96,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-09,0.0,97.84,26.0,218.36,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-14,0.0,100.31,26.0,201.61,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-16,0.0,106.4,26.0,187.18,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-24,0.0,103.0,26.0,240.5,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-32,0.0,151.19,26.0,226.46,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-35,0.0,167.64,26.0,297.62,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-41,0.0,115.65,26.0,277.65,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-46,0.0,129.22,26.0,242.16,26.0
TM00253,Group 3 IV Cisplatin,Cisplatin,0.0,260-47,0.0,92.83,26.0,172.78,26.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-045,0.0,185.82,28.0,705.34,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-059,0.0,138.18,28.0,302.17,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-072,0.0,202.32,28.0,530.99,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-073,0.0,201.8,28.0,836.82,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-081,0.0,185.95,28.0,698.63,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-091,0.0,152.16,28.0,162.07,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-105,0.0,169.29,28.0,365.02,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-107,0.0,137.26,28.0,514.66,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-121,0.0,168.11,28.0,328.21,28.0
TM00832,Grp8_Cisplatin,Cisplatin,0.0,191-163,0.0,148.54,28.0,354.25,28.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_17,0.0,272.49,25.0,1166.62,25.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_18,0.0,204.72,25.0,501.56,25.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_20,0.0,166.53,25.0,360.36,25.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_26,0.0,115.79,25.0,257.81,25.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_27,0.0,100.8,25.0,187.7,25.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_28,0.0,149.97,25.0,366.89,25.0
J000079689,Grp3 Cis Top,Cisplatin,0.0,689_33,0.0,251.7,0.0,251.7,0.0
TM00387,Cisplatin,Cisplatin,0.0,459-02,-1.0,150.7,28.0,79.31,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-14,-1.0,79.75,28.0,93.38,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-22,-1.0,71.29,28.0,112.76,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-36,-1.0,102.83,28.0,95.09,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-43,-1.0,125.48,28.0,145.11,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-46,-1.0,83.99,28.0,73.04,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-47,-1.0,124.37,28.0,112.01,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-50,-1.0,112.51,28.0,86.67,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-54,-1.0,140.38,28.0,185.66,29.0
TM00387,Cisplatin,Cisplatin,0.0,459-58,-1.0,95.41,28.0,104.92,29.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-002,0.0,137.39,21.0,836.81,21.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-005,0.0,88.0,21.0,685.95,21.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-013,0.0,188.36,14.0,841.93,14.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-014,0.0,91.76,21.0,933.93,21.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-016,0.0,103.24,21.0,688.78,21.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-024,0.0,120.69,14.0,395.54,14.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-033,0.0,141.81,14.0,443.45,14.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-035,0.0,96.95,14.0,466.49,14.0
TM01039,GRP3 - Cisplatin,Cisplatin,0.0,232-040,0.0,82.78,14.0,245.65,14.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-14,0.0,182.97,28.0,1030.04,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-16,0.0,127.29,28.0,1118.62,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-18,0.0,272.36,28.0,748.2,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-23,0.0,208.41,28.0,606.08,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-25,0.0,104.36,28.0,851.13,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-27,0.0,104.42,28.0,1016.56,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-29,0.0,183.08,28.0,774.23,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-32,0.0,182.07,28.0,1185.63,28.0
TM00298,Group 3 Cisplatin,Cisplatin,0.0,996-35,0.0,173.47,28.0,684.58,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-003,0.0,84.96,28.0,348.3,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-007,0.0,149.81,28.0,872.81,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-011,0.0,154.37,28.0,1337.32,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-015,0.0,100.2,28.0,548.95,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-018,0.0,94.9,28.0,605.86,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-025,0.0,116.11,28.0,596.14,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-026,0.0,120.7,28.0,751.93,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-030,0.0,133.91,28.0,810.7,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-035,0.0,74.24,28.0,299.83,28.0
TM00335,GRP3 - Cisplatin,Cisplatin,0.0,828-036,0.0,97.76,28.0,992.44,28.0
TM00702,Cisplatin,Cisplatin,0.0,1260-02,1.0,219.96,28.0,896.17,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-03,1.0,103.88,28.0,581.83,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-11,1.0,147.67,28.0,865.59,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-14,1.0,114.64,28.0,719.71,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-15,1.0,109.11,28.0,645.96,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-16,1.0,156.24,28.0,946.5,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-22,1.0,99.92,28.0,803.4,27.0
TM00702,Cisplatin,Cisplatin,0.0,1260-40,1.0,136.5,28.0,974.01,27.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-10,0.0,229.38,21.0,2179.58,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-11,0.0,109.91,21.0,1548.97,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-16,0.0,168.35,21.0,2128.39,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-21,0.0,128.01,21.0,2378.22,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-25,0.0,190.2,21.0,1790.05,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-27,0.0,136.65,21.0,1881.8,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-30,0.0,97.16,21.0,3013.22,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-36,0.0,124.95,21.0,1508.44,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-39,0.0,115.01,21.0,1217.21,21.0
TM01149,Group 2 Cisplatin IV,Cisplatin,0.0,149-41,0.0,89.86,21.0,806.01,21.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-001,-1.0,108.9,27.0,861.79,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-003,-1.0,129.1,27.0,1578.09,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-008,-1.0,114.24,27.0,1506.74,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-010,-1.0,158.51,27.0,2072.25,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-012,-1.0,160.47,27.0,1575.12,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-021,-1.0,130.23,27.0,1155.07,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-024,-1.0,193.38,27.0,1616.38,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-029,-1.0,111.0,27.0,1634.01,28.0
J000106560,GRP2 - Cisplatin,Cisplatin,0.0,050-032,-1.0,126.28,27.0,1840.07,28.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-13,-1.0,159.91,28.0,623.64,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-17,-1.0,125.62,28.0,590.74,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-23,-1.0,138.02,28.0,468.0,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-35,-1.0,114.91,28.0,677.48,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-4,-1.0,90.67,28.0,589.76,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-40,-1.0,204.25,28.0,640.61,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-48,-1.0,176.08,24.0,860.91,25.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-6,-1.0,197.15,28.0,599.22,29.0
TM01075,Group 2 IV Cisplatin,Cisplatin,0.0,1032-7,-1.0,102.51,28.0,586.29,29.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_11,0.0,99.92,27.0,536.03,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_17,0.0,195.85,27.0,930.97,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_18,0.0,124.69,27.0,589.97,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_29,0.0,163.35,27.0,600.58,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_47,0.0,104.0,27.0,314.43,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_48,0.0,103.04,27.0,619.41,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_55,0.0,146.88,27.0,588.16,27.0
J000102680,Grp 2 IV Cisplatin,Cisplatin,0.0,680_6,0.0,128.63,27.0,1012.1,27.0
J000102630,GRP2 - Cisplatin,Cisplatin,0.0,36,0.0,121.98,28.0,647.94,28.0
J000102630,GRP2 - Cisplatin,Cisplatin,0.0,50,0.0,94.5,28.0,1160.43,28.0
TM00185,3,Cisplatin,0.0,476_011,1.0,119.39,26.0,211.09,25.0
TM00185,3,Cisplatin,0.0,476_015,1.0,166.6,26.0,193.49,25.0
TM00185,3,Cisplatin,0.0,476_020,1.0,238.69,26.0,194.88,25.0
TM00185,3,Cisplatin,0.0,476_022,1.0,296.81,26.0,1158.29,25.0
TM00185,3,Cisplatin,0.0,476_030,1.0,102.71,26.0,444.83,25.0
TM00185,3,Cisplatin,0.0,476_039,1.0,80.76,26.0,58.12,25.0
TM00185,3,Cisplatin,0.0,476_042,1.0,86.56,26.0,121.74,25.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_054,1.0,194.36,25.0,242.45,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_056,1.0,93.96,25.0,289.97,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_058,1.0,156.51,25.0,396.16,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_067,1.0,144.08,25.0,257.4,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_068,1.0,285.98,25.0,420.48,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_074,1.0,83.47,25.0,166.24,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_085,1.0,276.2,25.0,255.37,24.0
TM00188,Group 3 Cisplatin,Cisplatin,0.0,520_092,1.0,168.62,25.0,414.27,24.0
TM00356,Cisplatin,Cisplatin,0.0,552-02,-1.0,227.1,21.0,2502.72,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-05,-1.0,97.53,21.0,1301.09,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-09,-1.0,147.59,21.0,1539.05,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-11,-1.0,80.5,21.0,962.48,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-13,-1.0,175.13,21.0,1306.05,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-23,-1.0,116.69,21.0,1126.1,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-31,-1.0,111.64,21.0,1269.92,22.0
TM00356,Cisplatin,Cisplatin,0.0,552-49,-1.0,132.47,21.0,1150.55,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-100,0.0,88.57,22.0,722.62,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-11,0.0,144.43,22.0,1694.75,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-114,0.0,166.94,22.0,1496.26,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-16,0.0,134.64,22.0,895.61,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-2,0.0,93.8,22.0,893.86,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-28,0.0,158.19,22.0,2260.38,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-5,0.0,77.53,22.0,749.41,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-68,0.0,218.71,22.0,1961.22,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-9,0.0,120.75,22.0,1586.8,22.0
TM00192,Group 3 IV Cisplatin,Cisplatin,0.0,567-96,0.0,110.66,22.0,1558.59,22.0
TM00196,Cisplatin,Cisplatin,0.0,645-01,0.0,147.49,28.0,453.8,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-04,0.0,262.28,28.0,330.36,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-07,0.0,116.29,28.0,272.26,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-08,0.0,260.33,28.0,1251.68,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-14,0.0,149.28,28.0,479.92,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-21,0.0,143.49,28.0,569.84,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-25,0.0,151.28,28.0,1177.36,28.0
TM00196,Cisplatin,Cisplatin,0.0,645-36,0.0,76.63,28.0,339.29,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-14,0.0,76.55,28.0,268.42,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-15,0.0,116.5,28.0,195.02,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-29,0.0,100.21,28.0,466.19,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-32,0.0,172.68,28.0,859.68,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-5,0.0,177.18,28.0,1017.89,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-8,0.0,172.17,28.0,696.7,28.0
TM00202,Grp3- IV Cisplatin,Cisplatin,0.0,796-9,0.0,73.92,28.0,239.19,28.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-05,-1.0,92.41,28.0,293.66,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-11,-1.0,139.81,28.0,264.6,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-12,-1.0,153.53,28.0,408.88,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-32,-1.0,104.04,28.0,289.35,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-35,-1.0,132.34,28.0,295.18,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-39,-1.0,177.43,28.0,392.82,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-47,-1.0,95.46,28.0,174.83,29.0
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-50,-1.0,113.06,28.0,278.07,29.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_10,0.0,123.85,28.0,558.95,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_15,0.0,184.31,28.0,1230.04,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_21,0.0,245.24,28.0,726.64,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_22,0.0,180.59,28.0,720.56,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_28,0.0,257.18,28.0,940.1,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_34,0.0,92.8,28.0,591.18,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_37,0.0,122.39,28.0,410.72,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_40,0.0,87.21,28.0,110.57,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_8,0.0,156.22,28.0,649.26,28.0
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_9,0.0,157.53,28.0,225.59,28.0
TM00213,Group 3 IV Cisplatin,Cisplatin,0.0,997-01,-1.0,173.65,28.0,783.18,29.0
TM00213,Group 3 IV Cisplatin,Cisplatin,0.0,997-06,-1.0,218.3,28.0,471.13,29.0
TM00213,Group 3 IV Cisplatin,Cisplatin,0.0,997-14,-1.0,108.17,28.0,310.99,29.0
TM00213,Group 3 IV Cisplatin,Cisplatin,0.0,997-18,-1.0,118.7,28.0,421.75,29.0
TM00213,Group 3 IV Cisplatin,Cisplatin,0.0,997-24,-1.0,95.37,28.0,461.03,29.0
TM00213,Group 3 IV Cisplatin,Cisplatin,0.0,997-30,-1.0,88.1,28.0,399.71,29.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_02,0.0,119.98,28.0,100.17,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_04,0.0,294.15,28.0,414.61,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_06,0.0,130.99,28.0,332.39,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_08,0.0,173.33,28.0,212.57,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_14,0.0,113.23,28.0,116.72,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_22,0.0,201.37,28.0,264.4,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_32,0.0,244.45,28.0,286.13,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_35,0.0,96.84,28.0,87.4,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_41,0.0,267.67,28.0,484.61,28.0
TM00226,Grp3 IV Cisplatin,Cisplatin,0.0,179_57,0.0,247.26,28.0,438.64,28.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_23,0.0,109.32,15.0,1044.84,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_3,0.0,118.91,15.0,1321.75,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_35,0.0,224.57,15.0,1161.1,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_42,0.0,162.6,15.0,1187.57,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_43,0.0,239.65,15.0,1310.45,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_46,0.0,233.95,15.0,1555.45,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_53,0.0,189.3,15.0,1218.32,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_7,0.0,179.34,15.0,1552.66,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_8,0.0,191.88,15.0,1090.69,15.0
TM00784,Grp3 IV Cisplatin,Cisplatin,0.0,208_9,0.0,251.73,15.0,1523.02,15.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-01,0.0,100.68,26.0,406.0,26.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-02,0.0,80.4,26.0,224.88,26.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-04,0.0,48.7,0.0,48.7,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-05,0.0,58.61,0.0,58.61,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-06,0.0,58.63,0.0,58.63,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-07,0.0,53.09,0.0,53.09,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-08,0.0,51.67,0.0,51.67,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-09,0.0,60.09,0.0,60.09,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-10,0.0,54.66,0.0,54.66,0.0
TM00302,Grp3_IV Cisplatin,Cisplatin,0.0,306-13,0.0,74.21,26.0,227.92,26.0
