Study,Group,Drug,Control,MID,Day,Size
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-021,17.0,31.41
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-021,21.0,30.05
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,0.0,94.29
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,1.0,94.96
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,7.0,68.33
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,10.0,25.5
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,14.0,26.89
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,17.0,7.64
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-022,21.0,7.87
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,0.0,106.78
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,3.0,224.16
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,6.0,92.79
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,8.0,100.78
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,14.0,28.97
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,17.0,21.82
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-024,21.0,24.23
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,0.0,150.7
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,1.0,141.69
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,7.0,114.44
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,10.0,53.96
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,14.0,38.84
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,17.0,11.83
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-051,21.0,12.74
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,0.0,121.01
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,1.0,135.43
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,7.0,40.01
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,10.0,30.3
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,14.0,29.48
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,17.0,4.67
TM00090,Gr 3: Cisplatin,Cisplatin,0.0,744-055,21.0,4.74
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,-1.0,74.6
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,4.0,126.7
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,7.0,237.34
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,11.0,268.78
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,14.0,360.05
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,18.0,380.91
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,21.0,291.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_26,25.0,477.0
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,-1.0,127.2
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,4.0,189.84
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,7.0,316.87
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,11.0,312.11
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,14.0,259.06
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,18.0,252.01
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,21.0,226.89
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_27,25.0,240.22
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,-1.0,93.28
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,4.0,143.22
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,7.0,204.13
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,11.0,203.72
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,14.0,187.44
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,18.0,185.39
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,21.0,259.45
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_32,25.0,359.41
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,-1.0,84.87
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,4.0,100.68
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,7.0,198.78
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,11.0,244.42
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,14.0,278.26
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,18.0,251.18
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,21.0,294.29
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_33,25.0,293.32
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,-1.0,215.07
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,4.0,477.04
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,7.0,527.29
