Study,Group,Drug,Control,MID,Day,Size
J000100646,Cisplatin,Cisplatin,0.0,646-026,16.0,95.76
J000100646,Cisplatin,Cisplatin,0.0,646-026,20.0,122.53
J000100646,Cisplatin,Cisplatin,0.0,646-026,23.0,65.65
J000100646,Cisplatin,Cisplatin,0.0,646-026,27.0,77.22
J000100646,Cisplatin,Cisplatin,0.0,646-027,-1.0,96.94
J000100646,Cisplatin,Cisplatin,0.0,646-027,2.0,100.08
J000100646,Cisplatin,Cisplatin,0.0,646-027,6.0,109.89
J000100646,Cisplatin,Cisplatin,0.0,646-027,9.0,177.7
J000100646,Cisplatin,Cisplatin,0.0,646-027,13.0,93.61
J000100646,Cisplatin,Cisplatin,0.0,646-027,16.0,108.6
J000100646,Cisplatin,Cisplatin,0.0,646-027,20.0,64.65
J000100646,Cisplatin,Cisplatin,0.0,646-027,23.0,83.88
J000100646,Cisplatin,Cisplatin,0.0,646-027,27.0,57.09
J000100646,Cisplatin,Cisplatin,0.0,646-036,-1.0,146.05
J000100646,Cisplatin,Cisplatin,0.0,646-036,2.0,187.8
J000100646,Cisplatin,Cisplatin,0.0,646-036,6.0,232.86
J000100646,Cisplatin,Cisplatin,0.0,646-036,9.0,226.99
J000100646,Cisplatin,Cisplatin,0.0,646-036,13.0,152.57
J000100646,Cisplatin,Cisplatin,0.0,646-036,16.0,111.48
J000100646,Cisplatin,Cisplatin,0.0,646-036,20.0,101.16
J000100646,Cisplatin,Cisplatin,0.0,646-036,23.0,56.36
J000100646,Cisplatin,Cisplatin,0.0,646-036,27.0,44.09
J000100646,Cisplatin,Cisplatin,0.0,646-044,-1.0,134.96
J000100646,Cisplatin,Cisplatin,0.0,646-044,2.0,195.44
J000100646,Cisplatin,Cisplatin,0.0,646-044,6.0,215.42
J000100646,Cisplatin,Cisplatin,0.0,646-044,9.0,239.21
J000100646,Cisplatin,Cisplatin,0.0,646-044,13.0,130.94
J000100646,Cisplatin,Cisplatin,0.0,646-044,16.0,112.58
J000100646,Cisplatin,Cisplatin,0.0,646-044,20.0,52.53
J000100646,Cisplatin,Cisplatin,0.0,646-044,23.0,38.73
J000100646,Cisplatin,Cisplatin,0.0,646-044,27.0,47.03
J000100646,Cisplatin,Cisplatin,0.0,646-048,-1.0,153.45
J000100646,Cisplatin,Cisplatin,0.0,646-048,2.0,166.96
J000100646,Cisplatin,Cisplatin,0.0,646-048,6.0,178.9
J000100646,Cisplatin,Cisplatin,0.0,646-048,9.0,224.72
J000100646,Cisplatin,Cisplatin,0.0,646-048,13.0,189.89
J000100646,Cisplatin,Cisplatin,0.0,646-048,16.0,108.74
J000100646,Cisplatin,Cisplatin,0.0,646-048,20.0,107.81
J000100646,Cisplatin,Cisplatin,0.0,646-048,23.0,73.87
J000100646,Cisplatin,Cisplatin,0.0,646-048,27.0,81.03
J000100646,Cisplatin,Cisplatin,0.0,646-050,-1.0,221.43
J000100646,Cisplatin,Cisplatin,0.0,646-050,2.0,334.74
J000100646,Cisplatin,Cisplatin,0.0,646-050,6.0,396.64
J000100646,Cisplatin,Cisplatin,0.0,646-050,9.0,460.85
J000100646,Cisplatin,Cisplatin,0.0,646-050,13.0,396.94
J000100646,Cisplatin,Cisplatin,0.0,646-050,16.0,288.21
J000100646,Cisplatin,Cisplatin,0.0,646-050,20.0,287.72
J000100646,Cisplatin,Cisplatin,0.0,646-050,23.0,207.1
J000100646,Cisplatin,Cisplatin,0.0,646-050,27.0,118.57
J000100646,Cisplatin,Cisplatin,0.0,646-053,-1.0,102.52
J000100646,Cisplatin,Cisplatin,0.0,646-053,2.0,129.1
J000100646,Cisplatin,Cisplatin,0.0,646-053,6.0,153.19
J000100646,Cisplatin,Cisplatin,0.0,646-053,9.0,165.18
J000100646,Cisplatin,Cisplatin,0.0,646-053,13.0,120.93
J000100646,Cisplatin,Cisplatin,0.0,646-053,16.0,101.11
J000100646,Cisplatin,Cisplatin,0.0,646-053,20.0,76.02
J000100646,Cisplatin,Cisplatin,0.0,646-053,23.0,74.47
J000100646,Cisplatin,Cisplatin,0.0,646-053,27.0,52.79
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,0.0,292.99
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,3.0,312.41
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,7.0,331.24
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,10.0,370.17
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,14.0,650.56
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,17.0,727.58
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-005,21.0,794.77
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,0.0,134.05
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,3.0,136.02
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,7.0,140.18
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,10.0,169.86
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,14.0,424.52
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,17.0,401.09
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-007,21.0,429.0
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,0.0,180.64
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,3.0,192.26
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,7.0,194.94
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,10.0,214.42
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,14.0,239.5
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,17.0,292.46
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-009,21.0,323.67
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,0.0,160.23
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,3.0,166.03
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,7.0,169.48
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,10.0,240.46
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,14.0,256.9
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,17.0,278.34
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-010,21.0,365.51
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,0.0,86.11
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,3.0,91.58
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,7.0,92.48
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,10.0,108.12
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,14.0,160.79
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,17.0,198.14
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-014,21.0,300.33
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,0.0,193.01
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,3.0,194.26
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,7.0,200.27
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,10.0,212.43
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,14.0,361.76
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,17.0,332.72
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-016,21.0,332.95
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,0.0,232.89
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,3.0,240.1
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,7.0,242.47
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,10.0,256.12
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,14.0,507.97
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,17.0,507.56
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-019,21.0,532.48
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,0.0,172.03
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,3.0,216.61
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,7.0,217.31
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,10.0,222.79
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,14.0,394.46
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,17.0,340.3
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-023,21.0,325.29
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,0.0,135.76
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,3.0,161.42
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,7.0,162.18
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,10.0,167.36
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,14.0,251.83
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,17.0,267.38
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-034,21.0,274.4
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,0.0,108.61
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,3.0,110.51
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,7.0,113.9
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,10.0,148.52
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,14.0,178.14
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,17.0,234.81
J000104256,GRP2 - Cisplatin,Cisplatin,0.0,256-043,21.0,292.17
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,-1.0,112.01
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,3.0,379.47
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,7.0,748.57
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,9.0,900.33
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,11.0,961.27
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,14.0,1047.05
TM01029,IV Cisplatin,Cisplatin,0.0,215-29,17.0,2296.04
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,-1.0,133.37
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,3.0,164.49
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,7.0,260.42
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,9.0,407.18
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,11.0,466.48
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,14.0,378.05
TM01029,IV Cisplatin,Cisplatin,0.0,215-31,17.0,626.82
J000104518,Cisplatin,Cisplatin,0.0,4518-07,-1.0,107.97
J000104518,Cisplatin,Cisplatin,0.0,4518-07,4.0,278.33
J000104518,Cisplatin,Cisplatin,0.0,4518-07,7.0,449.75
J000104518,Cisplatin,Cisplatin,0.0,4518-07,11.0,766.13
J000104518,Cisplatin,Cisplatin,0.0,4518-07,14.0,942.02
J000104518,Cisplatin,Cisplatin,0.0,4518-07,18.0,1183.64
J000104518,Cisplatin,Cisplatin,0.0,4518-07,21.0,1505.75
J000104518,Cisplatin,Cisplatin,0.0,4518-07,25.0,1747.42
J000104518,Cisplatin,Cisplatin,0.0,4518-07,28.0,2192.53
J000104518,Cisplatin,Cisplatin,0.0,4518-16,-1.0,90.14
J000104518,Cisplatin,Cisplatin,0.0,4518-16,4.0,212.49
J000104518,Cisplatin,Cisplatin,0.0,4518-16,7.0,338.7
J000104518,Cisplatin,Cisplatin,0.0,4518-16,11.0,563.51
J000104518,Cisplatin,Cisplatin,0.0,4518-16,14.0,678.31
J000104518,Cisplatin,Cisplatin,0.0,4518-16,18.0,776.05
J000104518,Cisplatin,Cisplatin,0.0,4518-17,-1.0,118.68
J000104518,Cisplatin,Cisplatin,0.0,4518-17,4.0,164.48
J000104518,Cisplatin,Cisplatin,0.0,4518-17,7.0,240.51
J000104518,Cisplatin,Cisplatin,0.0,4518-17,11.0,427.2
J000104518,Cisplatin,Cisplatin,0.0,4518-17,14.0,609.42
J000104518,Cisplatin,Cisplatin,0.0,4518-17,18.0,724.7
J000104518,Cisplatin,Cisplatin,0.0,4518-17,21.0,833.33
J000104518,Cisplatin,Cisplatin,0.0,4518-17,25.0,985.49
J000104518,Cisplatin,Cisplatin,0.0,4518-17,28.0,1160.31
J000104518,Cisplatin,Cisplatin,0.0,4518-18,-1.0,122.79
J000104518,Cisplatin,Cisplatin,0.0,4518-18,4.0,283.12
J000104518,Cisplatin,Cisplatin,0.0,4518-18,7.0,437.17
J000104518,Cisplatin,Cisplatin,0.0,4518-18,11.0,599.03
J000104518,Cisplatin,Cisplatin,0.0,4518-18,14.0,695.22
J000104518,Cisplatin,Cisplatin,0.0,4518-18,18.0,896.4
J000104518,Cisplatin,Cisplatin,0.0,4518-18,21.0,1029.18
J000104518,Cisplatin,Cisplatin,0.0,4518-18,25.0,1339.64
J000104518,Cisplatin,Cisplatin,0.0,4518-18,28.0,1676.78
J000104518,Cisplatin,Cisplatin,0.0,4518-24,-1.0,137.42
J000104518,Cisplatin,Cisplatin,0.0,4518-24,4.0,249.5
J000104518,Cisplatin,Cisplatin,0.0,4518-24,7.0,395.32
J000104518,Cisplatin,Cisplatin,0.0,4518-24,11.0,627.08
J000104518,Cisplatin,Cisplatin,0.0,4518-24,14.0,697.97
J000104518,Cisplatin,Cisplatin,0.0,4518-24,18.0,866.79
J000104518,Cisplatin,Cisplatin,0.0,4518-24,21.0,1124.17
J000104518,Cisplatin,Cisplatin,0.0,4518-24,25.0,1503.41
J000104518,Cisplatin,Cisplatin,0.0,4518-24,28.0,1900.43
J000104518,Cisplatin,Cisplatin,0.0,4518-26,-1.0,111.94
J000104518,Cisplatin,Cisplatin,0.0,4518-26,4.0,259.12
J000104518,Cisplatin,Cisplatin,0.0,4518-26,7.0,336.16
J000104518,Cisplatin,Cisplatin,0.0,4518-26,11.0,486.67
J000104518,Cisplatin,Cisplatin,0.0,4518-26,14.0,636.97
J000104518,Cisplatin,Cisplatin,0.0,4518-26,18.0,687.83
J000104518,Cisplatin,Cisplatin,0.0,4518-26,21.0,781.92
J000104518,Cisplatin,Cisplatin,0.0,4518-26,25.0,863.07
J000104518,Cisplatin,Cisplatin,0.0,4518-26,28.0,888.06
J000104518,Cisplatin,Cisplatin,0.0,4518-35,-1.0,118.84
J000104518,Cisplatin,Cisplatin,0.0,4518-35,4.0,277.04
J000104518,Cisplatin,Cisplatin,0.0,4518-35,7.0,341.29
J000104518,Cisplatin,Cisplatin,0.0,4518-35,11.0,489.23
J000104518,Cisplatin,Cisplatin,0.0,4518-35,14.0,650.41
J000104518,Cisplatin,Cisplatin,0.0,4518-35,18.0,839.43
J000104518,Cisplatin,Cisplatin,0.0,4518-35,21.0,996.82
J000104518,Cisplatin,Cisplatin,0.0,4518-35,25.0,1230.4
J000104518,Cisplatin,Cisplatin,0.0,4518-35,28.0,1310.34
J000104518,Cisplatin,Cisplatin,0.0,4518-38,-1.0,136.58
J000104518,Cisplatin,Cisplatin,0.0,4518-38,4.0,275.76
J000104518,Cisplatin,Cisplatin,0.0,4518-38,7.0,477.85
J000104518,Cisplatin,Cisplatin,0.0,4518-38,11.0,650.15
J000104518,Cisplatin,Cisplatin,0.0,4518-38,14.0,676.78
J000104518,Cisplatin,Cisplatin,0.0,4518-38,18.0,859.54
J000104518,Cisplatin,Cisplatin,0.0,4518-38,21.0,1330.4
J000104518,Cisplatin,Cisplatin,0.0,4518-38,25.0,1495.26
J000104518,Cisplatin,Cisplatin,0.0,4518-38,28.0,2102.47
J000104518,Cisplatin,Cisplatin,0.0,4518-39,-1.0,119.55
J000104518,Cisplatin,Cisplatin,0.0,4518-39,4.0,352.98
J000104518,Cisplatin,Cisplatin,0.0,4518-39,7.0,607.43
J000104518,Cisplatin,Cisplatin,0.0,4518-39,11.0,806.48
J000104518,Cisplatin,Cisplatin,0.0,4518-39,14.0,713.12
J000104518,Cisplatin,Cisplatin,0.0,4518-39,18.0,865.9
J000104518,Cisplatin,Cisplatin,0.0,4518-39,21.0,1230.06
J000104518,Cisplatin,Cisplatin,0.0,4518-39,25.0,1697.96
J000104518,Cisplatin,Cisplatin,0.0,4518-39,28.0,1955.58
J000104518,Cisplatin,Cisplatin,0.0,4518-44,-1.0,203.61
J000104518,Cisplatin,Cisplatin,0.0,4518-44,4.0,311.43
J000104518,Cisplatin,Cisplatin,0.0,4518-44,7.0,437.58
J000104518,Cisplatin,Cisplatin,0.0,4518-44,11.0,708.58
J000104518,Cisplatin,Cisplatin,0.0,4518-44,14.0,930.17
J000104518,Cisplatin,Cisplatin,0.0,4518-44,18.0,1149.85
J000104518,Cisplatin,Cisplatin,0.0,4518-44,21.0,1204.62
J000104518,Cisplatin,Cisplatin,0.0,4518-44,25.0,1322.58
J000104518,Cisplatin,Cisplatin,0.0,4518-44,28.0,1447.01
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,-1.0,123.1
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,2.0,136.53
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,6.0,176.61
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,9.0,200.88
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,13.0,383.41
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,16.0,433.56
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,20.0,477.18
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,23.0,528.12
J000105006,GRP2 - Cisplatin,Cisplatin,0.0,33,27.0,718.17
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,-1.0,134.95
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,3.0,399.18
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,7.0,637.43
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,10.0,1080.35
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,14.0,1717.53
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,17.0,1648.53
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,21.0,1949.71
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-07,24.0,2468.94
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,-1.0,156.1
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,3.0,388.22
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,7.0,531.7
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,10.0,660.51
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,14.0,639.93
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,17.0,689.88
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,21.0,1011.88
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-22,24.0,1571.37
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,-1.0,241.94
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,3.0,539.46
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,7.0,762.88
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,10.0,887.1
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,14.0,1189.47
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,17.0,1636.72
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,21.0,2093.3
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-23,24.0,2133.27
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,-1.0,217.33
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,3.0,518.06
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,7.0,844.42
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,10.0,1147.25
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,14.0,1381.85
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,17.0,1411.4
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,21.0,2561.41
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-24,24.0,2379.45
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,-1.0,90.99
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,3.0,228.73
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,7.0,351.3
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,10.0,548.27
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,14.0,833.24
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,17.0,805.01
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,21.0,1289.33
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-27,24.0,1571.08
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,-1.0,126.51
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,3.0,241.17
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,7.0,315.95
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,10.0,497.71
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,14.0,728.16
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,17.0,728.69
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,21.0,1332.35
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-35,24.0,1409.23
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,-1.0,206.98
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,3.0,414.3
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,7.0,723.73
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,10.0,793.53
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,14.0,1295.32
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,17.0,1613.79
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,21.0,1801.62
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-41,24.0,1639.92
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,-1.0,163.95
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,3.0,410.19
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,7.0,532.75
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,10.0,1010.82
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,14.0,1072.78
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,17.0,1084.46
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,21.0,1335.73
J000104944,Group 2 IV Cisplatin,Cisplatin,0.0,944-42,24.0,1347.89
TM00877,Cisplatin,Cisplatin,0.0,301-002,-1.0,128.1
TM00877,Cisplatin,Cisplatin,0.0,301-002,3.0,151.1
TM00877,Cisplatin,Cisplatin,0.0,301-002,7.0,175.29
TM00877,Cisplatin,Cisplatin,0.0,301-002,10.0,179.62
TM00877,Cisplatin,Cisplatin,0.0,301-002,14.0,163.04
TM00877,Cisplatin,Cisplatin,0.0,301-002,17.0,130.19
TM00877,Cisplatin,Cisplatin,0.0,301-002,21.0,125.89
TM00877,Cisplatin,Cisplatin,0.0,301-002,24.0,344.42
TM00877,Cisplatin,Cisplatin,0.0,301-002,28.0,381.7
TM00877,Cisplatin,Cisplatin,0.0,301-003,-1.0,229.7
TM00877,Cisplatin,Cisplatin,0.0,301-003,3.0,457.47
TM00877,Cisplatin,Cisplatin,0.0,301-003,7.0,519.67
TM00877,Cisplatin,Cisplatin,0.0,301-003,10.0,523.74
TM00877,Cisplatin,Cisplatin,0.0,301-003,14.0,486.28
TM00877,Cisplatin,Cisplatin,0.0,301-003,17.0,536.07
TM00877,Cisplatin,Cisplatin,0.0,301-003,21.0,541.07
TM00877,Cisplatin,Cisplatin,0.0,301-003,24.0,420.75
TM00877,Cisplatin,Cisplatin,0.0,301-003,28.0,422.08
TM00877,Cisplatin,Cisplatin,0.0,301-008,-1.0,78.64
TM00877,Cisplatin,Cisplatin,0.0,301-008,3.0,84.18
TM00877,Cisplatin,Cisplatin,0.0,301-008,7.0,89.33
TM00877,Cisplatin,Cisplatin,0.0,301-008,10.0,110.35
TM00877,Cisplatin,Cisplatin,0.0,301-008,14.0,92.61
TM00877,Cisplatin,Cisplatin,0.0,301-008,17.0,111.17
TM00877,Cisplatin,Cisplatin,0.0,301-008,21.0,181.98
TM00877,Cisplatin,Cisplatin,0.0,301-008,24.0,273.91
TM00877,Cisplatin,Cisplatin,0.0,301-008,28.0,431.88
TM00877,Cisplatin,Cisplatin,0.0,301-011,-1.0,174.11
TM00877,Cisplatin,Cisplatin,0.0,301-011,3.0,227.34
TM00877,Cisplatin,Cisplatin,0.0,301-011,7.0,229.07
TM00877,Cisplatin,Cisplatin,0.0,301-011,10.0,210.44
TM00877,Cisplatin,Cisplatin,0.0,301-011,14.0,200.95
TM00877,Cisplatin,Cisplatin,0.0,301-011,17.0,216.97
TM00877,Cisplatin,Cisplatin,0.0,301-011,21.0,198.79
TM00877,Cisplatin,Cisplatin,0.0,301-011,24.0,229.02
TM00877,Cisplatin,Cisplatin,0.0,301-011,28.0,224.29
TM00877,Cisplatin,Cisplatin,0.0,301-012,-1.0,96.96
TM00877,Cisplatin,Cisplatin,0.0,301-012,3.0,147.88
TM00877,Cisplatin,Cisplatin,0.0,301-012,7.0,160.68
TM00877,Cisplatin,Cisplatin,0.0,301-012,10.0,171.16
TM00877,Cisplatin,Cisplatin,0.0,301-012,14.0,171.87
TM00877,Cisplatin,Cisplatin,0.0,301-012,17.0,185.16
TM00877,Cisplatin,Cisplatin,0.0,301-012,21.0,189.58
TM00877,Cisplatin,Cisplatin,0.0,301-012,24.0,211.87
TM00877,Cisplatin,Cisplatin,0.0,301-012,28.0,403.22
TM00877,Cisplatin,Cisplatin,0.0,301-013,-1.0,129.14
TM00877,Cisplatin,Cisplatin,0.0,301-013,3.0,196.56
TM00877,Cisplatin,Cisplatin,0.0,301-013,7.0,198.66
TM00877,Cisplatin,Cisplatin,0.0,301-013,10.0,302.28
TM00877,Cisplatin,Cisplatin,0.0,301-013,14.0,217.29
TM00877,Cisplatin,Cisplatin,0.0,301-013,17.0,251.67
TM00877,Cisplatin,Cisplatin,0.0,301-013,21.0,252.8
TM00877,Cisplatin,Cisplatin,0.0,301-013,24.0,273.94
TM00877,Cisplatin,Cisplatin,0.0,301-013,28.0,267.57
TM00877,Cisplatin,Cisplatin,0.0,301-020,-1.0,96.74
TM00877,Cisplatin,Cisplatin,0.0,301-020,3.0,95.91
TM00877,Cisplatin,Cisplatin,0.0,301-020,7.0,105.31
TM00877,Cisplatin,Cisplatin,0.0,301-020,10.0,109.97
TM00877,Cisplatin,Cisplatin,0.0,301-020,14.0,124.32
TM00877,Cisplatin,Cisplatin,0.0,301-020,17.0,126.85
TM00877,Cisplatin,Cisplatin,0.0,301-020,21.0,156.15
TM00877,Cisplatin,Cisplatin,0.0,301-020,24.0,176.85
TM00877,Cisplatin,Cisplatin,0.0,301-020,28.0,169.48
TM00877,Cisplatin,Cisplatin,0.0,301-024,-1.0,83.03
TM00877,Cisplatin,Cisplatin,0.0,301-024,3.0,151.65
