MID,Sample,Drug,Day,Volume,excel_sheet
15,HCI-002,Vehicle,15.0,243.9844,6d right
15,HCI-002,Vehicle,18.0,279.79374,6d right
15,HCI-002,Vehicle,22.0,482.2335,6d right
16,HCI-002,Vehicle,1.0,242.0734865,6d right
16,HCI-002,Vehicle,4.0,309.3052845,6d right
16,HCI-002,Vehicle,8.0,414.8497305,6d right
16,HCI-002,Vehicle,11.0,594.560088,6d right
16,HCI-002,Vehicle,15.0,792.4225,6d right
16,HCI-002,Vehicle,18.0,923.000832,6d right
16,HCI-002,Vehicle,22.0,1195.42212,6d right
17,HCI-002,Vehicle,1.0,180.50552,6d right
17,HCI-002,Vehicle,4.0,287.934109,6d right
17,HCI-002,Vehicle,8.0,369.333032,6d right
17,HCI-002,Vehicle,11.0,537.23241,6d right
17,HCI-002,Vehicle,15.0,613.941774,6d right
17,HCI-002,Vehicle,18.0,772.506436,6d right
17,HCI-002,Vehicle,22.0,967.903125,6d right
18,HCI-002,Vehicle,1.0,150.504858,6d right
18,HCI-002,Vehicle,4.0,163.8443625,6d right
18,HCI-002,Vehicle,8.0,335.34375,6d right
18,HCI-002,Vehicle,11.0,440.9164,6d right
18,HCI-002,Vehicle,15.0,526.764738,6d right
18,HCI-002,Vehicle,18.0,670.298813,6d right
18,HCI-002,Vehicle,22.0,1347.521759,6d right
19,HCI-002,Vehicle,1.0,242.764478,6d right
19,HCI-002,Vehicle,4.0,220.21875,6d right
19,HCI-002,Vehicle,8.0,402.711745,6d right
19,HCI-002,Vehicle,11.0,379.3671875,6d right
19,HCI-002,Vehicle,15.0,624.581504,6d right
19,HCI-002,Vehicle,18.0,753.2554,6d right
19,HCI-002,Vehicle,22.0,875.691675,6d right
20,HCI-002,Vehicle,1.0,202.335246,6d right
20,HCI-002,Vehicle,4.0,219.950318,6d right
20,HCI-002,Vehicle,8.0,337.6952685,6d right
20,HCI-002,Vehicle,11.0,394.30672,6d right
20,HCI-002,Vehicle,15.0,584.828332,6d right
20,HCI-002,Vehicle,18.0,614.247449,6d right
20,HCI-002,Vehicle,22.0,863.09145,6d right
21,HCI-023,Docetaxel,1.0,305.96859,6f top left
21,HCI-023,Docetaxel,3.0,275.736132,6f top left
21,HCI-023,Docetaxel,7.0,247.9491465,6f top left
21,HCI-023,Docetaxel,10.0,168.763534,6f top left
21,HCI-023,Docetaxel,14.0,116.2456595,6f top left
21,HCI-023,Docetaxel,17.0,67.108864,6f top left
21,HCI-023,Docetaxel,21.0,45.08334,6f top left
22,HCI-023,Docetaxel,1.0,235.9296,6f top left
22,HCI-023,Docetaxel,3.0,232.90092,6f top left
22,HCI-023,Docetaxel,7.0,172.0128,6f top left
22,HCI-023,Docetaxel,10.0,181.3,6f top left
22,HCI-023,Docetaxel,14.0,109.6515,6f top left
22,HCI-023,Docetaxel,17.0,86.633576,6f top left
22,HCI-023,Docetaxel,21.0,87.005184,6f top left
23,HCI-023,Docetaxel,1.0,180.565,6f top left
23,HCI-023,Docetaxel,3.0,234.519704,6f top left
23,HCI-023,Docetaxel,7.0,169.672086,6f top left
23,HCI-023,Docetaxel,10.0,132.5001645,6f top left
23,HCI-023,Docetaxel,14.0,111.392,6f top left
23,HCI-023,Docetaxel,17.0,74.646275,6f top left
23,HCI-023,Docetaxel,21.0,58.583424,6f top left
24,HCI-023,Vehicle,1.0,217.9561,6f top left
24,HCI-023,Vehicle,3.0,203.4722025,6f top left
24,HCI-023,Vehicle,7.0,253.345152,6f top left
24,HCI-023,Vehicle,10.0,291.594775,6f top left
24,HCI-023,Vehicle,14.0,359.8976205,6f top left
24,HCI-023,Vehicle,17.0,336.3808275,6f top left
24,HCI-023,Vehicle,21.0,461.087288,6f top left
25,HCI-023,Vehicle,1.0,308.594592,6f top left
25,HCI-023,Vehicle,3.0,418.392126,6f top left
25,HCI-023,Vehicle,7.0,483.502662,6f top left
25,HCI-023,Vehicle,10.0,616.002922,6f top left
25,HCI-023,Vehicle,14.0,522.31344,6f top left
25,HCI-023,Vehicle,17.0,636.172547,6f top left
25,HCI-023,Vehicle,21.0,918.174908,6f top left
26,HCI-023,Vehicle,1.0,201.698308,6f top left
26,HCI-023,Vehicle,3.0,256.3903225,6f top left
26,HCI-023,Vehicle,7.0,238.077184,6f top left
26,HCI-023,Vehicle,10.0,334.855354,6f top left
26,HCI-023,Vehicle,14.0,406.002456,6f top left
26,HCI-023,Vehicle,17.0,331.88535,6f top left
26,HCI-023,Vehicle,21.0,471.7524005,6f top left
27,HCI-023,Vehicle,1.0,200.552418,6f top left
27,HCI-023,Vehicle,3.0,259.949736,6f top left
27,HCI-023,Vehicle,7.0,172.15315,6f top left
27,HCI-023,Vehicle,10.0,250.970112,6f top left
27,HCI-023,Vehicle,14.0,235.99035,6f top left
