Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
11,Vehicle,,M4,HCI-024,156.797046,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
15,Vehicle,,M4,HCI-024,146.477916,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
18,Vehicle,,M4,HCI-024,175.0965625,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
22,Vehicle,,M4,HCI-024,152.7694055,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
1,Vehicle,,M5,HCI-024,246.5195,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
4,Vehicle,,M5,HCI-024,275.150831,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
8,Vehicle,,M5,HCI-024,277.017336,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
11,Vehicle,,M5,HCI-024,275.9854875,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
15,Vehicle,,M5,HCI-024,218.059355,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
18,Vehicle,,M5,HCI-024,272.109398,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
22,Vehicle,,M5,HCI-024,405.948103,43018_2022_337_MOESM7_ESM.xlsx,6d mid left
1,Navitoclax,,M0,HCI-015,199.1195,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Navitoclax,,M0,HCI-015,253.008712,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Navitoclax,,M0,HCI-015,326.974325,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Navitoclax,,M0,HCI-015,415.7314515,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Navitoclax,,M0,HCI-015,400.40663,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Navitoclax,,M0,HCI-015,453.722412,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Navitoclax,,M0,HCI-015,566.65268,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Navitoclax,,M1,HCI-015,131.072,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Navitoclax,,M1,HCI-015,141.207612,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Navitoclax,,M1,HCI-015,170.22356,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Navitoclax,,M1,HCI-015,163.13152,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Navitoclax,,M1,HCI-015,229.976224,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Navitoclax,,M1,HCI-015,231.7229375,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Navitoclax,,M1,HCI-015,242.709578,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Navitoclax,,M2,HCI-015,141.312,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Navitoclax,,M2,HCI-015,213.9964515,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Navitoclax,,M2,HCI-015,157.18563,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Navitoclax,,M2,HCI-015,182.7015,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Navitoclax,,M2,HCI-015,257.82809,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Navitoclax,,M2,HCI-015,227.56025,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Navitoclax,,M2,HCI-015,240.1245,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Vehicle,,M0,HCI-015,138.915,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Vehicle,,M0,HCI-015,145.330504,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Vehicle,,M0,HCI-015,182.6566875,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Vehicle,,M0,HCI-015,203.187798,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Vehicle,,M0,HCI-015,306.9543645,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Vehicle,,M0,HCI-015,338.6242485,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Vehicle,,M0,HCI-015,389.207,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Vehicle,,M1,HCI-015,178.85,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Vehicle,,M1,HCI-015,172.1692665,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Vehicle,,M1,HCI-015,261.140824,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Vehicle,,M1,HCI-015,322.8452955,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Vehicle,,M1,HCI-015,356.979056,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Vehicle,,M1,HCI-015,326.810204,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Vehicle,,M1,HCI-015,433.2,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Vehicle,,M2,HCI-015,121.086,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Vehicle,,M2,HCI-015,147.9168115,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Vehicle,,M2,HCI-015,230.538924,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Vehicle,,M2,HCI-015,249.67965,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Vehicle,,M2,HCI-015,355.743,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Vehicle,,M2,HCI-015,294.208936,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Vehicle,,M2,HCI-015,343.901538,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Vehicle,,M3,HCI-015,130.235,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Vehicle,,M3,HCI-015,101.71303,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Vehicle,,M3,HCI-015,133.490286,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Vehicle,,M3,HCI-015,123.037704,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Vehicle,,M3,HCI-015,106.6600685,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Vehicle,,M3,HCI-015,135.502848,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Vehicle,,M3,HCI-015,106.1705,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Vehicle,,M4,HCI-015,124.6535,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Vehicle,,M4,HCI-015,147.39008,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Vehicle,,M4,HCI-015,198.82044,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Vehicle,,M4,HCI-015,211.606956,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Vehicle,,M4,HCI-015,224.1088,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Vehicle,,M4,HCI-015,298.969344,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Vehicle,,M4,HCI-015,313.227576,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Vehicle,,M5,HCI-015,291.9645,43018_2022_337_MOESM7_ESM.xlsx,6d mid
4,Vehicle,,M5,HCI-015,247.3814115,43018_2022_337_MOESM7_ESM.xlsx,6d mid
8,Vehicle,,M5,HCI-015,367.566903,43018_2022_337_MOESM7_ESM.xlsx,6d mid
11,Vehicle,,M5,HCI-015,486.2446875,43018_2022_337_MOESM7_ESM.xlsx,6d mid
15,Vehicle,,M5,HCI-015,536.3262,43018_2022_337_MOESM7_ESM.xlsx,6d mid
18,Vehicle,,M5,HCI-015,535.690116,43018_2022_337_MOESM7_ESM.xlsx,6d mid
22,Vehicle,,M5,HCI-015,573.3874935,43018_2022_337_MOESM7_ESM.xlsx,6d mid
1,Navitoclax,,M0,HCI-027,152.1,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Navitoclax,,M0,HCI-027,157.29396,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Navitoclax,,M0,HCI-027,284.8168445,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Navitoclax,,M0,HCI-027,333.5596,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Navitoclax,,M0,HCI-027,348.884382,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Navitoclax,,M0,HCI-027,591.9876,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Navitoclax,,M0,HCI-027,562.306369,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Navitoclax,,M1,HCI-027,157.115,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Navitoclax,,M1,HCI-027,106.431975,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Navitoclax,,M1,HCI-027,213.7629375,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Navitoclax,,M1,HCI-027,207.237042,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Navitoclax,,M1,HCI-027,270.323298,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Navitoclax,,M1,HCI-027,331.515679,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Navitoclax,,M1,HCI-027,862.9832715,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Navitoclax,,M2,HCI-027,219.04,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Navitoclax,,M2,HCI-027,219.29335,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Navitoclax,,M2,HCI-027,343.404325,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Navitoclax,,M2,HCI-027,370.29252,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Navitoclax,,M2,HCI-027,388.4700285,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Navitoclax,,M2,HCI-027,322.5364,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Navitoclax,,M2,HCI-027,469.5003,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Vehicle,,M0,HCI-027,128.9925,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
