MID,Sample,Drug,start_vol,end_vol,duration,V_V0,log(V_V0+1)
0,HCI-010,Navitoclax,163.9208,230.687446,21.0,1.4073103962401354,1.2674221734888569
1,HCI-010,Navitoclax,119.794563,111.587111,21.0,0.931487274593589,0.9497121725523965
2,HCI-010,Navitoclax,132.0270255,110.372796,21.0,0.8359863867417053,0.8765553616640068
3,HCI-024,Navitoclax,285.77,367.335,21.0,1.2854218427406656,1.1924604822460507
4,HCI-024,Navitoclax,176.157,213.0164,21.0,1.2092417559336273,1.1435513005412914
5,HCI-024,Navitoclax,246.402,308.72989,21.0,1.252952045843784,1.1718166060901447
6,HCI-015,Navitoclax,199.1195,566.65268,21.0,2.8457919992768166,1.9432807362278126
7,HCI-015,Navitoclax,131.072,242.709578,21.0,1.8517271270751952,1.511835941371754
8,HCI-015,Navitoclax,141.312,240.1245,21.0,1.6992505944293477,1.4325589206943377
9,HCI-027,Navitoclax,152.1,562.306369,21.0,3.696951801446417,2.231724789216095
10,HCI-027,Navitoclax,157.115,862.9832715,21.0,5.492685431053687,2.698815312853063
11,HCI-027,Navitoclax,219.04,469.5003,21.0,2.143445489408327,1.6523467455111076
12,HCI-002,Navitoclax,267.385952,928.08,21.0,3.470937770133863,2.1605774655083625
13,HCI-002,Navitoclax,180.002988,687.587868,21.0,3.819869190171443,2.2689939926685523
14,HCI-002,Navitoclax,107.595104,214.043264,21.0,1.989340184103544,1.579827083698126
15,HCI-002,Vehicle,127.977608,482.2335,21.0,3.768108402213612,2.2534170356235266
16,HCI-002,Vehicle,242.0734865,1195.42212,21.0,4.938261258115931,2.570040567136758
17,HCI-002,Vehicle,180.50552,967.903125,21.0,5.362180198145741,2.6695212343875774
18,HCI-002,Vehicle,150.504858,1347.521759,21.0,8.953343944552273,3.3151812976907147
19,HCI-002,Vehicle,242.764478,875.691675,21.0,3.607165604351721,2.203879456479785
20,HCI-002,Vehicle,202.335246,863.09145,21.0,4.265650533273871,2.3966117768639057
30,HCI-015,Docetaxel,199.584,100.5723,21.0,0.503909632034632,0.588717879959435
31,HCI-015,Docetaxel,105.5925,49.800672,21.0,0.4716307692307692,0.5574157459740647
32,HCI-015,Docetaxel,107.648,70.09705,21.0,0.6511690881391201,0.7234878671493362
33,HCI-015,Vehicle,138.915,389.207,21.0,2.8017636684303353,1.9266688515601555
34,HCI-015,Vehicle,178.85,433.2,21.0,2.4221414593234556,1.7748993970121154
35,HCI-015,Vehicle,121.086,343.901538,21.0,2.8401428571428573,1.9411599816386083
36,HCI-015,Vehicle,130.235,106.1705,21.0,0.8152224824355971,0.8601463827310185
37,HCI-015,Vehicle,124.6535,313.227576,21.0,2.5127860509331867,1.8126157107313075
38,HCI-015,Vehicle,291.9645,573.3874935,21.0,1.9638945608113316,1.567494125342696
39,HCI-019,Docetaxel,123.008,4.0,21.0,0.03251821019771072,0.04616722622608238
40,HCI-019,Docetaxel,202.612,94.08,21.0,0.4643357747813555,0.5502464040785267
41,HCI-019,Docetaxel,181.3,128.9925,21.0,0.7114864864864865,0.7752499011961889
42,HCI-019,Vehicle,169.884,205.8,21.0,1.2114148477784843,1.1449696912291676
43,HCI-019,Vehicle,205.35,334.1165,21.0,1.6270586803019234,1.393448426141541
44,HCI-019,Vehicle,84.7,125.0235,21.0,1.4760743801652891,1.3080546531159283
45,HCI-019,Vehicle,176.157,333.036,21.0,1.8905635313952893,1.5313507815475471
46,HCI-019,Vehicle,74.36,168.776,21.0,2.2697149004841313,1.7091648468581784
47,HCI-019,Vehicle,89.2375,194.5085,21.0,2.1796722230004204,1.668878052734617
48,HCI-016,Docetaxel,216.302,0.0,21.0,0.0,0.0
49,HCI-016,Docetaxel,313.4495,41.454,21.0,0.13225096865683308,0.17919377363471195
50,HCI-016,Docetaxel,65.0,0.0,21.0,0.0,0.0
51,HCI-016,Vehicle,65.0,136.9305,21.0,2.1066230769230767,1.6353472115141618
52,HCI-016,Vehicle,111.392,433.2,21.0,3.8889686871588625,2.2895301652099707
53,HCI-016,Vehicle,262.122,853.0125,21.0,3.254257559457047,2.088907378973991
54,HCI-016,Vehicle,295.856,915.008,21.0,3.0927478232653725,2.033069777132197
55,HCI-016,Vehicle,352.352,1117.1875,21.0,3.1706574675324677,2.0602748298045617
56,HCI-016,Vehicle,67.5,173.95,21.0,2.577037037037037,1.8387650562344622
63,HCI-027,Docetaxel,168.776,0.5,21.0,0.0029625065175143384,0.004267675070450211
