source,target,pair,percent-heldout,percent-used,seed,transfer,target_only_mean,percent-to-match-TL,efficiency-gain
REP,GDSC,REP_GDSC,20,80,0,0.8107095667495487,0.8133565718486666,78.25226043817568,0.978153255477196
REP,GDSC,REP_GDSC,20,80,1,0.8188090419256187,0.8133565718486666,84.53567083425,1.056695885428125
REP,GDSC,REP_GDSC,20,80,2,0.8123283174377828,0.8133565718486666,79.32107387548254,0.9915134234435318
REP,GDSC,REP_GDSC,20,80,3,0.8278241680091389,0.8133565718486666,90.0,1.125
REP,GDSC,REP_GDSC,20,80,4,0.8290225398403617,0.8133565718486666,90.0,1.125
REP,GDSC,REP_GDSC,20,80,5,0.8307414037302333,0.8133565718486666,90.0,1.125
REP,GDSC,REP_GDSC,20,80,6,0.8227339966860396,0.8133565718486666,87.80066863916115,1.0975083579895144
REP,GDSC,REP_GDSC,20,80,7,0.8181878006850848,0.8133565718486666,84.01888747992523,1.0502360934990653
REP,GDSC,REP_GDSC,20,80,8,0.8293675796245689,0.8133565718486666,90.0,1.125
REP,GDSC,REP_GDSC,20,80,9,0.8202729330306151,0.8133565718486666,85.75341767114085,1.0719177208892607
REP,GDSC,REP_GDSC,40,60,0,0.8117054516102714,0.7785321580262476,78.9098139014036,1.3151635650233933
REP,GDSC,REP_GDSC,40,60,1,0.7981578148509044,0.7785321580262476,69.97283885932671,1.1662139809887786
REP,GDSC,REP_GDSC,40,60,2,0.7752119313256394,0.7785321580262476,58.739495000145666,0.9789915833357611
REP,GDSC,REP_GDSC,40,60,3,0.8051279638689253,0.7785321580262476,74.56689233060791,1.2427815388434653
REP,GDSC,REP_GDSC,40,60,4,0.8019940335901663,0.7785321580262476,72.49765040356687,1.208294173392781
REP,GDSC,REP_GDSC,40,60,5,0.7945733980200279,0.7785321580262476,68.15140624291209,1.1358567707152014
REP,GDSC,REP_GDSC,40,60,6,0.8048111246970914,0.7785321580262476,74.35769275047326,1.2392948791745544
REP,GDSC,REP_GDSC,40,60,7,0.7997468428174905,0.7785321580262476,71.01389647438823,1.183564941239804
REP,GDSC,REP_GDSC,40,60,8,0.8255224460613606,0.7785321580262476,90.0,1.5
REP,GDSC,REP_GDSC,40,60,9,0.7923175639052393,0.7785321580262476,67.00509708642596,1.1167516181070993
REP,GDSC,REP_GDSC,60,40,0,0.7627028093815545,0.7301407530705869,53.9904786900793,1.3497619672519825
REP,GDSC,REP_GDSC,60,40,1,0.7472247926710233,0.7301407530705869,47.74752769498031,1.1936881923745077
REP,GDSC,REP_GDSC,60,40,2,0.7533881173825313,0.7301407530705869,50.4542093640357,1.2613552341008925
REP,GDSC,REP_GDSC,60,40,3,0.749996358412599,0.7301407530705869,49.004419088557306,1.2251104772139327
REP,GDSC,REP_GDSC,60,40,4,0.7551874805365801,0.7301407530705869,51.13732725228613,1.2784331813071532
REP,GDSC,REP_GDSC,60,40,5,0.766751237111306,0.7301407530705869,55.52744102881531,1.3881860257203829
REP,GDSC,REP_GDSC,60,40,6,0.7498534759131278,0.7301407530705869,48.93962257978819,1.2234905644947047
REP,GDSC,REP_GDSC,60,40,7,0.7392819234093233,0.7301407530705869,44.14547566151064,1.103636891537766
REP,GDSC,REP_GDSC,60,40,8,0.764180118084524,0.7301407530705869,54.55133045543622,1.3637832613859056
REP,GDSC,REP_GDSC,60,40,9,0.7634503197764287,0.7301407530705869,54.274266718773056,1.3568566679693264
REP,GDSC,REP_GDSC,80,20,0,0.7230108610562358,0.6163155535080359,38.07702101037334,1.9038510505186672
REP,GDSC,REP_GDSC,80,20,1,0.7201661659809739,0.6163155535080359,37.30978795121728,1.865489397560864
REP,GDSC,REP_GDSC,80,20,2,0.723319168605539,0.6163155535080359,38.16017359367475,1.9080086796837374
REP,GDSC,REP_GDSC,80,20,3,0.7169784816771377,0.6163155535080359,36.45004843068857,1.8225024215344283
REP,GDSC,REP_GDSC,80,20,4,0.7290197884949446,0.6163155535080359,39.69766844676791,1.9848834223383958
REP,GDSC,REP_GDSC,80,20,5,0.704586047183279,0.6163155535080359,33.10772696017414,1.655386348008707
REP,GDSC,REP_GDSC,80,20,6,0.7326124555685559,0.6163155535080359,41.12090489162048,2.056045244581024
REP,GDSC,REP_GDSC,80,20,7,0.6955915469667746,0.6163155535080359,30.68185081734949,1.5340925408674744
REP,GDSC,REP_GDSC,80,20,8,0.7278206531186787,0.6163155535080359,39.37425371206561,1.9687126856032804
REP,GDSC,REP_GDSC,80,20,9,0.7169057808066173,0.6163155535080359,36.43044052551174,1.8215220262755871
REP,GDSC,REP_GDSC,10,90,0,0.8207359461055137,0.8253778808814541,86.13857795080403,0.9570953105644893
REP,GDSC,REP_GDSC,10,90,1,0.8296148805339427,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,10,90,2,0.8089899847531751,0.8253778808814541,77.11687105571296,0.8568541228412552
REP,GDSC,REP_GDSC,10,90,3,0.8417915735937559,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,10,90,4,0.8094087723910824,0.8253778808814541,77.39338420750764,0.8599264911945294
REP,GDSC,REP_GDSC,10,90,5,0.8583345882374946,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,10,90,6,0.833400677504981,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,10,90,7,0.8414863416524693,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,10,90,8,0.8507784472605238,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,10,90,9,0.8383558705848488,0.8253778808814541,90.0,1.0
REP,GDSC,REP_GDSC,85,15,0,0.735570149478033,0.5498287297456129,42.46220449129847,2.8308136327532316
REP,GDSC,REP_GDSC,85,15,1,0.7155556792612026,0.5498287297456129,36.06630921742611,2.404420614495074
REP,GDSC,REP_GDSC,85,15,2,0.716588994342044,0.5498287297456129,36.34500112273449,2.4230000748489657
REP,GDSC,REP_GDSC,85,15,3,0.7146161965477174,0.5498287297456129,35.81292452162523,2.387528301441682
REP,GDSC,REP_GDSC,85,15,4,0.7170659350294311,0.5498287297456129,36.47363517768193,2.4315756785121283
REP,GDSC,REP_GDSC,85,15,5,0.7127754492173022,0.5498287297456129,35.31646280320439,2.354430853546959
REP,GDSC,REP_GDSC,85,15,6,0.7162237879222202,0.5498287297456129,36.24650253807368,2.4164335025382453
REP,GDSC,REP_GDSC,85,15,7,0.7121660714812397,0.5498287297456129,35.15210960110318,2.3434739734068786
REP,GDSC,REP_GDSC,85,15,8,0.7071720643813006,0.5498287297456129,33.805192886530314,2.2536795257686877
REP,GDSC,REP_GDSC,85,15,9,0.6913573893442485,0.5498287297456129,29.777708878494927,1.985180591899662
REP,GDSC,REP_GDSC,90,10,0,0.6849446694000315,0.4558483499769651,28.942152178220084,2.8942152178220084
REP,GDSC,REP_GDSC,90,10,1,0.7041883338723199,0.4558483499769651,33.00046105217305,3.300046105217305
REP,GDSC,REP_GDSC,90,10,2,0.69710300078214,0.4558483499769651,31.089499898834674,3.1089499898834676
REP,GDSC,REP_GDSC,90,10,3,0.6956148171339956,0.4558483499769651,30.6881269352151,3.06881269352151
REP,GDSC,REP_GDSC,90,10,4,0.7092328697310284,0.4558483499769651,34.36100570687319,3.4361005706873193
REP,GDSC,REP_GDSC,90,10,5,0.6862861855915858,0.4558483499769651,29.116947405850638,2.9116947405850637
REP,GDSC,REP_GDSC,90,10,6,0.7084046684639675,0.4558483499769651,34.137634352505614,3.4137634352505613
REP,GDSC,REP_GDSC,90,10,7,0.6996766529959788,0.4558483499769651,31.783630907250583,3.178363090725058
REP,GDSC,REP_GDSC,90,10,8,0.6817993472363377,0.4558483499769651,28.532326857411043,2.853232685741104
REP,GDSC,REP_GDSC,90,10,9,0.6660663895716192,0.4558483499769651,26.482373279795226,2.6482373279795226
REP,GDSC,REP_GDSC,95,5,0,0.679204116540325,0.13749066796163192,28.194176678442457,5.6388353356884915
REP,GDSC,REP_GDSC,95,5,1,0.5910975154489428,0.13749066796163192,18.103531148577307,3.6207062297154615
REP,GDSC,REP_GDSC,95,5,2,0.6176172609087555,0.13749066796163192,20.169608270738443,4.033921654147688
REP,GDSC,REP_GDSC,95,5,3,0.662329164071555,0.13749066796163192,25.995424865677634,5.199084973135527
REP,GDSC,REP_GDSC,95,5,4,0.5781517673973534,0.13749066796163192,17.129973733814317,3.4259947467628633
REP,GDSC,REP_GDSC,95,5,5,0.5979151488155022,0.13749066796163192,18.616236748029674,3.723247349605935
REP,GDSC,REP_GDSC,95,5,6,0.6330995040517624,0.13749066796163192,22.18689455580218,4.437378911160436
REP,GDSC,REP_GDSC,95,5,7,0.6631896013629621,0.13749066796163192,26.107537066156613,5.221507413231323
REP,GDSC,REP_GDSC,95,5,8,0.5967511966797324,0.13749066796163192,18.528704206248992,3.7057408412497983
REP,GDSC,REP_GDSC,95,5,9,0.5270501266679944,0.13749066796163192,13.788119225859019,2.757623845171804
REP,GDSC,REP_GDSC,30,70,0,0.8234774633307198,0.7982112655516868,88.41912594913663,1.2631303707019519
REP,GDSC,REP_GDSC,30,70,1,0.8069773419282711,0.7982112655516868,75.7879822333685,1.082685460476693
REP,GDSC,REP_GDSC,30,70,2,0.7812593659037316,0.7982112655516868,61.385839207371816,0.8769405601053116
REP,GDSC,REP_GDSC,30,70,3,0.8199251503799507,0.7982112655516868,85.46411252998209,1.2209158932854585
REP,GDSC,REP_GDSC,30,70,4,0.7987118331888116,0.7982112655516868,70.3305100783763,1.004721572548233
REP,GDSC,REP_GDSC,30,70,5,0.819688274356668,0.7982112655516868,85.26706575027063,1.2181009392895805
REP,GDSC,REP_GDSC,30,70,6,0.8076839826094653,0.7982112655516868,76.25455627772116,1.089350803967445
REP,GDSC,REP_GDSC,30,70,7,0.7988181781170764,0.7982112655516868,70.40072650462719,1.005724664351817
REP,GDSC,REP_GDSC,30,70,8,0.8305524240538996,0.7982112655516868,90.0,1.2857142857142858
REP,GDSC,REP_GDSC,30,70,9,0.8112123343324591,0.7982112655516868,78.58422307600665,1.1226317582286665
REP,GDSC,REP_GDSC,50,50,0,0.7762965676450344,0.7521917095473288,59.15127095007419,1.183025419001484
REP,GDSC,REP_GDSC,50,50,1,0.7708288041630244,0.7521917095473288,57.07546594379797,1.1415093188759595
REP,GDSC,REP_GDSC,50,50,2,0.7621658262462597,0.7521917095473288,53.78661612649213,1.0757323225298425
REP,GDSC,REP_GDSC,50,50,3,0.7455404381914046,0.7521917095473288,46.983681246235456,0.9396736249247091
REP,GDSC,REP_GDSC,50,50,4,0.76413592013029,0.7521917095473288,54.5345509559264,1.090691019118528
REP,GDSC,REP_GDSC,50,50,5,0.7783235522428479,0.7521917095473288,59.92080401229056,1.1984160802458113
REP,GDSC,REP_GDSC,50,50,6,0.7706484265418692,0.7521917095473288,57.006986615779105,1.1401397323155822
REP,GDSC,REP_GDSC,50,50,7,0.7738822544836539,0.7521917095473288,58.23469082300735,1.164693816460147
REP,GDSC,REP_GDSC,50,50,8,0.7791367126386424,0.7521917095473288,60.30720631594355,1.206144126318871
REP,GDSC,REP_GDSC,50,50,9,0.7708280698334017,0.7521917095473288,57.075187159773755,1.141503743195475
REP,GDSC,REP_GDSC,70,30,0,0.7303313863325386,0.6930634264184878,40.08645124403232,1.3362150414677438
REP,GDSC,REP_GDSC,70,30,1,0.7488642910939536,0.6930634264184878,48.49103214326108,1.6163677381087027
REP,GDSC,REP_GDSC,70,30,2,0.7353254199112899,0.6930634264184878,42.35122083986309,1.4117073613287696
REP,GDSC,REP_GDSC,70,30,3,0.7502525304636916,0.6930634264184878,49.12059185020722,1.637353061673574
REP,GDSC,REP_GDSC,70,30,4,0.7424393295384193,0.6930634264184878,45.577343767742775,1.5192447922580925
REP,GDSC,REP_GDSC,70,30,5,0.7229033550664168,0.6930634264184878,38.0480259345342,1.26826753115114
REP,GDSC,REP_GDSC,70,30,6,0.7442028394150958,0.6930634264184878,46.37708679863423,1.5459028932878076
REP,GDSC,REP_GDSC,70,30,7,0.7251636237200674,0.6930634264184878,38.65763532597144,1.288587844199048
REP,GDSC,REP_GDSC,70,30,8,0.7414962109383392,0.6930634264184878,45.14964413436186,1.504988137812062
REP,GDSC,REP_GDSC,70,30,9,0.7409067691767942,0.6930634264184878,44.88233520281203,1.4960778400937342
REP,CTD2,REP_CTD2,20,80,0,0.8150520615080662,0.8044317661139617,84.98040833554148,1.0622551041942685
REP,CTD2,REP_CTD2,20,80,1,0.7864007353221251,0.8044317661139617,65.99258379995283,0.8249072974994103
REP,CTD2,REP_CTD2,20,80,2,0.7893236065448643,0.8044317661139617,68.15326598725366,0.8519158248406707
REP,CTD2,REP_CTD2,20,80,3,0.7836307054506138,0.8044317661139617,63.9448869479319,0.7993110868491488
REP,CTD2,REP_CTD2,20,80,4,0.8015251158746911,0.8044317661139617,77.69496100931013,0.9711870126163766
REP,CTD2,REP_CTD2,20,80,5,0.7989953005481624,0.8044317661139617,75.68876057689867,0.9461095072112334
REP,CTD2,REP_CTD2,20,80,6,0.8104625343146633,0.8044317661139617,82.82814056501348,1.0353517570626685
