source,target,percent-heldout,seed,raw_overlap
REP,GDSC,10,0,0.5940026398333124
REP,GDSC,10,1,0.5572965963207704
REP,GDSC,10,2,0.5680811831025269
REP,GDSC,10,3,0.6051740609646589
REP,GDSC,10,4,0.5966547710016441
REP,GDSC,10,5,0.6129954399896782
REP,GDSC,10,6,0.6116591075824468
REP,GDSC,10,7,0.5906494532374634
REP,GDSC,10,8,0.6278742268548468
REP,GDSC,10,9,0.5855188691494736
REP,GDSC,20,0,0.5757672398512722
REP,GDSC,20,1,0.6016135343769425
REP,GDSC,20,2,0.5823595065571311
REP,GDSC,20,3,0.5884916605620115
REP,GDSC,20,4,0.5898355854288875
REP,GDSC,20,5,0.5960380730823223
REP,GDSC,20,6,0.616249648516012
REP,GDSC,20,7,0.5977822224126429
REP,GDSC,20,8,0.6129815237125443
REP,GDSC,20,9,0.5840686126164099
REP,GDSC,30,0,0.5845751148266741
REP,GDSC,30,1,0.5976154035266426
REP,GDSC,30,2,0.5853298458495663
REP,GDSC,30,3,0.5876331645900501
REP,GDSC,30,4,0.5902652766916324
REP,GDSC,30,5,0.6089163290380146
REP,GDSC,30,6,0.6052591634057104
REP,GDSC,30,7,0.5918589277899572
REP,GDSC,30,8,0.6025836347434519
REP,GDSC,30,9,0.5937804742802549
REP,GDSC,40,0,0.5850143847583555
REP,GDSC,40,1,0.5949681140739208
REP,GDSC,40,2,0.5979544315699462
REP,GDSC,40,3,0.598554650062193
REP,GDSC,40,4,0.5958833452545043
REP,GDSC,40,5,0.604655980275876
REP,GDSC,40,6,0.6056180260802057
REP,GDSC,40,7,0.5972846577492301
REP,GDSC,40,8,0.5999597865033344
REP,GDSC,40,9,0.5892212889177801
REP,GDSC,50,0,0.5894487053569686
REP,GDSC,50,1,0.5912622802883009
REP,GDSC,50,2,0.601987189827913
REP,GDSC,50,3,0.6012368136117323
REP,GDSC,50,4,0.5991742800632407
REP,GDSC,50,5,0.6093012278940445
REP,GDSC,50,6,0.6043162815803116
REP,GDSC,50,7,0.5964751876239489
REP,GDSC,50,8,0.5921406428195677
REP,GDSC,50,9,0.598061078407568
REP,GDSC,60,0,0.590902357195388
REP,GDSC,60,1,0.5911981306307972
REP,GDSC,60,2,0.6001340128788412
REP,GDSC,60,3,0.6020758453438801
REP,GDSC,60,4,0.6069440756805788
REP,GDSC,60,5,0.6035450816506298
REP,GDSC,60,6,0.6053335366865151
REP,GDSC,60,7,0.5956084936760848
REP,GDSC,60,8,0.5944897584750162
REP,GDSC,60,9,0.5938405510148099
REP,GDSC,70,0,0.5918390921087562
REP,GDSC,70,1,0.5999417901987686
REP,GDSC,70,2,0.5941744204936018
REP,GDSC,70,3,0.5995944008261981
REP,GDSC,70,4,0.60423704919794
REP,GDSC,70,5,0.6008519957858973
REP,GDSC,70,6,0.5989670550592229
REP,GDSC,70,7,0.5956170520710311
REP,GDSC,70,8,0.5916398192288661
REP,GDSC,70,9,0.5969953779309233
REP,GDSC,80,0,0.5919725775356555
REP,GDSC,80,1,0.5963669820516097
REP,GDSC,80,2,0.5948583944788196
REP,GDSC,80,3,0.5983612774035464
REP,GDSC,80,4,0.5962450324023674
REP,GDSC,80,5,0.5991678756551267
REP,GDSC,80,6,0.6017508882111015
REP,GDSC,80,7,0.5959196000058022
REP,GDSC,80,8,0.5933097747447259
REP,GDSC,80,9,0.5959209723002835
REP,GDSC,85,0,0.5929591886562023
REP,GDSC,85,1,0.5966430812408163
REP,GDSC,85,2,0.5944893084366512
REP,GDSC,85,3,0.5970852975169405
REP,GDSC,85,4,0.5947288960057858
REP,GDSC,85,5,0.5994313906788645
REP,GDSC,85,6,0.5978755977766196
REP,GDSC,85,7,0.5944323257963562
REP,GDSC,85,8,0.5941588321097494
REP,GDSC,85,9,0.5951702882906651
REP,GDSC,90,0,0.5937633592707403
REP,GDSC,90,1,0.5953687128193543
REP,GDSC,90,2,0.5948870071211947
REP,GDSC,90,3,0.5965578744869754
REP,GDSC,90,4,0.5981601972939552
REP,GDSC,90,5,0.5974707048808048
REP,GDSC,90,6,0.5967708867734551
REP,GDSC,90,7,0.593975297542857
REP,GDSC,90,8,0.5941124459148717
REP,GDSC,90,9,0.5954261902150471
REP,GDSC,95,0,0.5970332048222052
REP,GDSC,95,1,0.5956454841484238
REP,GDSC,95,2,0.5956839414354482
REP,GDSC,95,3,0.5945084551743409
REP,GDSC,95,4,0.5965626176574169
REP,GDSC,95,5,0.5966869812776897
REP,GDSC,95,6,0.5988918413593015
REP,GDSC,95,7,0.5945966597368396
REP,GDSC,95,8,0.5950407707526078
REP,GDSC,95,9,0.596264893536305
REP,CTD2,10,0,0.6089498853295603
REP,CTD2,10,1,0.5787407848974571
REP,CTD2,10,2,0.5936389777302951
REP,CTD2,10,3,0.614667812252624
REP,CTD2,10,4,0.6152508812642428
REP,CTD2,10,5,0.6153234364764714
REP,CTD2,10,6,0.5910384641642563
REP,CTD2,10,7,0.6010623427018731
REP,CTD2,10,8,0.6297085511729354
REP,CTD2,10,9,0.5546302346885478
REP,CTD2,20,0,0.5897953519848761
REP,CTD2,20,1,0.6048627988690994
REP,CTD2,20,2,0.6207695315033244
REP,CTD2,20,3,0.6077737608867864
REP,CTD2,20,4,0.6113083257960775
REP,CTD2,20,5,0.5891212706271979
REP,CTD2,20,6,0.6014777813128344
REP,CTD2,20,7,0.5967601724115175
REP,CTD2,20,8,0.6137513198800307
REP,CTD2,20,9,0.5920721424142159
REP,CTD2,30,0,0.5983675267750939
REP,CTD2,30,1,0.6063427245594684
REP,CTD2,30,2,0.6106547546033604
REP,CTD2,30,3,0.6103276308305746
REP,CTD2,30,4,0.6039132335653378
REP,CTD2,30,5,0.6057358339010201
REP,CTD2,30,6,0.6056247615164934
REP,CTD2,30,7,0.5981508869609518
REP,CTD2,30,8,0.6109586431431888
REP,CTD2,30,9,0.6063584847321473
REP,CTD2,40,0,0.5921844579251321
REP,CTD2,40,1,0.6081735341046787
REP,CTD2,40,2,0.6159079453517444
REP,CTD2,40,3,0.6094408056957067
REP,CTD2,40,4,0.6108114449709245
REP,CTD2,40,5,0.5980298470971651
REP,CTD2,40,6,0.6052658986248874
REP,CTD2,40,7,0.6025589747465878
REP,CTD2,40,8,0.6007179863553561
REP,CTD2,40,9,0.6039808271686931
REP,CTD2,50,0,0.59915290848477
REP,CTD2,50,1,0.6017219762116095
REP,CTD2,50,2,0.6160725087181077
REP,CTD2,50,3,0.6159791094404293
REP,CTD2,50,4,0.6101234492622379
REP,CTD2,50,5,0.6027028591043008
REP,CTD2,50,6,0.6046130137256869
REP,CTD2,50,7,0.5968200754049099
REP,CTD2,50,8,0.5984249847644523
REP,CTD2,50,9,0.604087518807894
REP,CTD2,60,0,0.5991236513913433
REP,CTD2,60,1,0.6032237803630653
REP,CTD2,60,2,0.6131478742128967
REP,CTD2,60,3,0.6090794896369742
REP,CTD2,60,4,0.6127766404534765
REP,CTD2,60,5,0.6015618612363226
REP,CTD2,60,6,0.6043010081377875
REP,CTD2,60,7,0.6025778591774228
REP,CTD2,60,8,0.6052033512122632
REP,CTD2,60,9,0.601274744309764
REP,CTD2,70,0,0.6007286421478056
REP,CTD2,70,1,0.6074264922344238
REP,CTD2,70,2,0.6104007783624875
REP,CTD2,70,3,0.603330376864779
REP,CTD2,70,4,0.6102455452093936
REP,CTD2,70,5,0.6024170822922718
REP,CTD2,70,6,0.603050253019853
REP,CTD2,70,7,0.6021055896240634
REP,CTD2,70,8,0.6051241468444132
REP,CTD2,70,9,0.6046888285009954
REP,CTD2,80,0,0.6017211789708031
REP,CTD2,80,1,0.6061389643419791
REP,CTD2,80,2,0.6082224516856348
REP,CTD2,80,3,0.6048992541429864
REP,CTD2,80,4,0.6073015095896507
REP,CTD2,80,5,0.6001321160197174
REP,CTD2,80,6,0.6063563427324901
REP,CTD2,80,7,0.602575962666822
REP,CTD2,80,8,0.6062961235751717
REP,CTD2,80,9,0.6036559269707921
REP,CTD2,85,0,0.6019477372918044
REP,CTD2,85,1,0.6053541093530391
REP,CTD2,85,2,0.6053603891586832
REP,CTD2,85,3,0.6030753520647356
REP,CTD2,85,4,0.6054224572939257
REP,CTD2,85,5,0.6036696839766991
REP,CTD2,85,6,0.6073383839778663
REP,CTD2,85,7,0.6026231206276247
REP,CTD2,85,8,0.607678594369008
REP,CTD2,85,9,0.6040767335626295
REP,CTD2,90,0,0.6024198653240189
REP,CTD2,90,1,0.6050725954067362
REP,CTD2,90,2,0.6064500726045395
REP,CTD2,90,3,0.6021566726426033
REP,CTD2,90,4,0.6060878412995079
REP,CTD2,90,5,0.6044803137658676
REP,CTD2,90,6,0.6034238718719834
REP,CTD2,90,7,0.6030658120755236
REP,CTD2,90,8,0.6063886965153944
REP,CTD2,90,9,0.6030919202969698
REP,CTD2,95,0,0.6044699987250973
REP,CTD2,95,1,0.6048706341648981
REP,CTD2,95,2,0.6049602049782108
REP,CTD2,95,3,0.6025132223993884
REP,CTD2,95,4,0.6047437180104095
REP,CTD2,95,5,0.6040260636825399
REP,CTD2,95,6,0.6052591062904753
REP,CTD2,95,7,0.6045968671472971
REP,CTD2,95,8,0.6070432624751098
REP,CTD2,95,9,0.6035709851351239
GDSC,CTD2,10,0,0.6606047065562416
GDSC,CTD2,10,1,0.5851899335043118
GDSC,CTD2,10,2,0.6043332914639279
GDSC,CTD2,10,3,0.6741378268645273
GDSC,CTD2,10,4,0.6319990263186717
GDSC,CTD2,10,5,0.649708796573584
GDSC,CTD2,10,6,0.615939403825549
GDSC,CTD2,10,7,0.6067640022697127
GDSC,CTD2,10,8,0.6371869964244798
GDSC,CTD2,10,9,0.5858357911739945
GDSC,CTD2,20,0,0.6365522769764416
GDSC,CTD2,20,1,0.6148731076161643
GDSC,CTD2,20,2,0.6209621012368118
GDSC,CTD2,20,3,0.6519727935839664
GDSC,CTD2,20,4,0.6349785287839054
GDSC,CTD2,20,5,0.6243931157050259
GDSC,CTD2,20,6,0.6199187511769212
GDSC,CTD2,20,7,0.5911275239566421
GDSC,CTD2,20,8,0.6148619263222183
GDSC,CTD2,20,9,0.6040645106305229
GDSC,CTD2,30,0,0.6239707317519699
GDSC,CTD2,30,1,0.6242895332556871
GDSC,CTD2,30,2,0.6130570192149237
GDSC,CTD2,30,3,0.6398836240387594
GDSC,CTD2,30,4,0.6348831996020475
GDSC,CTD2,30,5,0.6304863265046952
GDSC,CTD2,30,6,0.6167978746348884
GDSC,CTD2,30,7,0.6056640650497296
GDSC,CTD2,30,8,0.6173224679418194
GDSC,CTD2,30,9,0.6221041753785681
GDSC,CTD2,40,0,0.6179623506066654
GDSC,CTD2,40,1,0.6216145912831259
GDSC,CTD2,40,2,0.6183806043185409
GDSC,CTD2,40,3,0.6371186561063322
GDSC,CTD2,40,4,0.6375933551425138
GDSC,CTD2,40,5,0.6234955190944581
GDSC,CTD2,40,6,0.6161978697759118
GDSC,CTD2,40,7,0.6207427920490413
GDSC,CTD2,40,8,0.6181458570367724
GDSC,CTD2,40,9,0.6198166929082431
GDSC,CTD2,50,0,0.6167636949882114
GDSC,CTD2,50,1,0.618770401636178
GDSC,CTD2,50,2,0.6235423156876665
GDSC,CTD2,50,3,0.6334022211021041
GDSC,CTD2,50,4,0.6345148587806453
GDSC,CTD2,50,5,0.6325264668704359
GDSC,CTD2,50,6,0.6198688803357536
GDSC,CTD2,50,7,0.6141413518531414
GDSC,CTD2,50,8,0.6154103383055709
GDSC,CTD2,50,9,0.6261273174480745
GDSC,CTD2,60,0,0.6207601149781915
GDSC,CTD2,60,1,0.6221985968406235
GDSC,CTD2,60,2,0.6260183204929191
GDSC,CTD2,60,3,0.6297792951196679
GDSC,CTD2,60,4,0.6341509843311154
GDSC,CTD2,60,5,0.6311281535893329
GDSC,CTD2,60,6,0.6196639149885194
GDSC,CTD2,60,7,0.6112467113367228
GDSC,CTD2,60,8,0.6209236990397063
GDSC,CTD2,60,9,0.6259656212310121
GDSC,CTD2,70,0,0.6199656624454312
GDSC,CTD2,70,1,0.625641812806967
GDSC,CTD2,70,2,0.620873021523204
GDSC,CTD2,70,3,0.6256632772311168
GDSC,CTD2,70,4,0.6299666585673845
GDSC,CTD2,70,5,0.626921350930131
GDSC,CTD2,70,6,0.62084514042605
GDSC,CTD2,70,7,0.6146987164814978
GDSC,CTD2,70,8,0.6208822388573247
GDSC,CTD2,70,9,0.6236587891139383
GDSC,CTD2,80,0,0.6187475264644513
GDSC,CTD2,80,1,0.625790338785157
GDSC,CTD2,80,2,0.6205990883518596
GDSC,CTD2,80,3,0.6241491206471943
GDSC,CTD2,80,4,0.6251130782855406
GDSC,CTD2,80,5,0.6267968489280351
GDSC,CTD2,80,6,0.621648494248487
GDSC,CTD2,80,7,0.6208801092088313
GDSC,CTD2,80,8,0.6210469621966971
GDSC,CTD2,80,9,0.6222514053767019
GDSC,CTD2,85,0,0.6198410868478538
GDSC,CTD2,85,1,0.6248053443766853
GDSC,CTD2,85,2,0.6223401471900311
GDSC,CTD2,85,3,0.6216988272411104
GDSC,CTD2,85,4,0.6248963732133579
GDSC,CTD2,85,5,0.6264281760730968
GDSC,CTD2,85,6,0.6217475058670839
GDSC,CTD2,85,7,0.6212710438369362
GDSC,CTD2,85,8,0.622036162797504
GDSC,CTD2,85,9,0.6250751196892516
GDSC,CTD2,90,0,0.6196100690416176
GDSC,CTD2,90,1,0.6233062079905046
GDSC,CTD2,90,2,0.6244672064155433
GDSC,CTD2,90,3,0.6213500438202204
GDSC,CTD2,90,4,0.6248596119873646
GDSC,CTD2,90,5,0.6261657020239658
GDSC,CTD2,90,6,0.6218590331960746
GDSC,CTD2,90,7,0.6202120493274634
GDSC,CTD2,90,8,0.6219985792327379
GDSC,CTD2,90,9,0.6221505386808395
GDSC,CTD2,95,0,0.6220282782956025
GDSC,CTD2,95,1,0.6217822197697173
GDSC,CTD2,95,2,0.62311343304531
GDSC,CTD2,95,3,0.6186562302945902
GDSC,CTD2,95,4,0.6244492481565987
GDSC,CTD2,95,5,0.6249169119490664
GDSC,CTD2,95,6,0.6237155537028848
GDSC,CTD2,95,7,0.6224127577050131
GDSC,CTD2,95,8,0.6228576920749181
GDSC,CTD2,95,9,0.6229073530283955
GDSC,REP,10,0,0.5940026398333124
GDSC,REP,10,1,0.5572965963207704
GDSC,REP,10,2,0.5680811831025269
GDSC,REP,10,3,0.6051740609646589
GDSC,REP,10,4,0.5966547710016441
GDSC,REP,10,5,0.6129954399896782
GDSC,REP,10,6,0.6116591075824468
GDSC,REP,10,7,0.5906494532374633
GDSC,REP,10,8,0.6278742268548468
GDSC,REP,10,9,0.5855188691494737
GDSC,REP,20,0,0.5757672398512722
GDSC,REP,20,1,0.6016135343769426
GDSC,REP,20,2,0.582359506557131
GDSC,REP,20,3,0.5884916605620114
GDSC,REP,20,4,0.5898355854288875
GDSC,REP,20,5,0.5960380730823224
GDSC,REP,20,6,0.616249648516012
GDSC,REP,20,7,0.5977822224126429
GDSC,REP,20,8,0.6129815237125444
GDSC,REP,20,9,0.5840686126164099
GDSC,REP,30,0,0.5845751148266741
GDSC,REP,30,1,0.5976154035266424
GDSC,REP,30,2,0.5853298458495663
GDSC,REP,30,3,0.5876331645900501
GDSC,REP,30,4,0.5902652766916324
GDSC,REP,30,5,0.6089163290380146
GDSC,REP,30,6,0.6052591634057105
GDSC,REP,30,7,0.5918589277899572
GDSC,REP,30,8,0.602583634743452
GDSC,REP,30,9,0.5937804742802549
GDSC,REP,40,0,0.5850143847583555
GDSC,REP,40,1,0.5949681140739208
GDSC,REP,40,2,0.5979544315699463
GDSC,REP,40,3,0.5985546500621931
GDSC,REP,40,4,0.5958833452545043
GDSC,REP,40,5,0.604655980275876
GDSC,REP,40,6,0.6056180260802057
GDSC,REP,40,7,0.5972846577492301
GDSC,REP,40,8,0.5999597865033345
GDSC,REP,40,9,0.5892212889177801
GDSC,REP,50,0,0.5894487053569686
GDSC,REP,50,1,0.5912622802883007
GDSC,REP,50,2,0.601987189827913
GDSC,REP,50,3,0.6012368136117323
GDSC,REP,50,4,0.5991742800632407
GDSC,REP,50,5,0.6093012278940445
GDSC,REP,50,6,0.6043162815803116
GDSC,REP,50,7,0.5964751876239489
GDSC,REP,50,8,0.5921406428195677
GDSC,REP,50,9,0.598061078407568
GDSC,REP,60,0,0.5909023571953881
GDSC,REP,60,1,0.5911981306307971
GDSC,REP,60,2,0.6001340128788412
GDSC,REP,60,3,0.6020758453438803
GDSC,REP,60,4,0.6069440756805788
GDSC,REP,60,5,0.6035450816506298
GDSC,REP,60,6,0.6053335366865151
GDSC,REP,60,7,0.5956084936760847
GDSC,REP,60,8,0.5944897584750161
GDSC,REP,60,9,0.5938405510148099
GDSC,REP,70,0,0.5918390921087562
GDSC,REP,70,1,0.5999417901987686
GDSC,REP,70,2,0.5941744204936018
GDSC,REP,70,3,0.5995944008261981
GDSC,REP,70,4,0.60423704919794
GDSC,REP,70,5,0.6008519957858972
GDSC,REP,70,6,0.5989670550592229
GDSC,REP,70,7,0.5956170520710312
GDSC,REP,70,8,0.5916398192288661
GDSC,REP,70,9,0.5969953779309233
GDSC,REP,80,0,0.5919725775356555
GDSC,REP,80,1,0.5963669820516097
GDSC,REP,80,2,0.5948583944788196
GDSC,REP,80,3,0.5983612774035464
GDSC,REP,80,4,0.5962450324023674
GDSC,REP,80,5,0.5991678756551266
GDSC,REP,80,6,0.6017508882111015
GDSC,REP,80,7,0.5959196000058022
GDSC,REP,80,8,0.5933097747447259
GDSC,REP,80,9,0.5959209723002835
GDSC,REP,85,0,0.5929591886562023
GDSC,REP,85,1,0.5966430812408163
