Cell Line Name
SCMC-RM2
GI-ME-N
H103
H157
JOPACA-1
PA-1
PACADD-161
SUM-159PT
SW-13
UM-UC-10
UM-UC-6
1777N Rpmet
EGI-1
H376
H413
HEC-116
IHH-4
JAR
NP 2
NP 5
Onda 9
SNU-638
VA-ES-BJ
CAL-72
PK-8
SK-LMS-1
ANGM-CSS
C-33 A
Ca Ski
UM-UC-5
FLO-1
GCT-27
HEC-1
JEG-3
KKU-055
KKU-213
KON
KOSC-2 cl3-43
LS
MCC14/2
UPCI-SCC-111
ICC9
G415
MMNK-1
RBE
SG231
SSP-25
CC-LP-1
CC-SW-1
HOTHC
BICR 78
C-4 I
MS751
PACADD-119
SW 156
UM-UC-11
A388
HCA-1
HSC-5
HT-3
MCC13
NCCIT
NOZ
OSC-20
PEA1
SKG-II
SK-GT-4
SUSA
TFK-1
UM-RC-3
UPCI-SCC-116
OZ
TGBC1TKB
ECC2
RMS-YM
CHLA-200
OCI-C5x
OV17R
PACADD-137
RO82-W-1
SUM-149PT
SW 954
SW756
UM-UC-13
1618-K
92-1
HKA-1
HSC-1
JMU-RTK-2
MCC26
MM127
SISO
SKG-I
93T449
LPS141
ICC4
KMCH-1
YSCCC
GB2
950-5-BIK
DoTc2 4510
GP5d
HD-MB03
OCI-P5x
BOKU
C80
EMTOKA
H357
HAC-2
HCSC-1
NP 3
Shmac 5
SKN
TASK1
PFSK-1
94T778
95T1000
ICC12
ICC8
HKGZ-CC
MP41
Mel285
TGBC18TKB
TT1TKB
T3M-5
MDA PCa 2b
MB-1
SW 626
UM-UC-7
C75
HuO9
KKU-100
OCUG-1
SK-GT-2
SNU-2372
TGW
UM-RC-7
UPCI-SCC-072
OCI-C4p
SNU-1544
ICC10
ICC13-7
ICC15
TGBC52TKB
Mel290
PMF-ko14
HSKTC
HTMMT
HL-60
OCI-LY3
KARPAS-422
SU-DHL-4
MUTZ-5
MOLT-13
L82
OAC-M5.1
WERI-Rb1
BL-2
BLUE-1
BONNA-12
KARPAS 1718
MOLM-14
OCI-LY18
RC-K8
SCC-3
TANOUE
U-2904
U-2940
U-2973
ULA
VAL
WA-OSEL
NZOV9
HCC827
GAMG
CAL-29
SNU-840
NCI-N87
LU99
MES-SA
SNU-761
NCI-H1975
NCI-H1437
HCC1806
COR-L23
SW948
A549
GB-1
GI-1
RERF-LC-Ad2
KYSE-510
NCI-H322
NCI-H1793
5637
NCI-H1339
HEC-1-A
SNU-C2A
8505C
T24
CAL-62
KP4
SF-295
HLF
UO-31
CAL-54
Hey-A8
G-361
MIA PaCa-2
A2780
L3.3
OAW42
HMC-1-8
YD-10B
DMS 273
KYSE-70
CAL-12T
YD-15
HGC-27
AGS
647-V
ES-2
RKO
Ishikawa (Heraklio) 02 ER-
"G-292, clone A141B1"
G-401
KP-3
NCI-H2052
Hs 766T
YAPC
SK-HEP-1
J82
SW837
A-704
YH-13
JHH-4
KURAMOCHI
YKG1
NCI-H596
SW620
KYSE-30
COLO-679
SCaBER
SW480
NCI-H2172
SK-UT-1
AN3 CA
SNU-407
PLC/PRF/5
TOV-112D
HT-1080
ACC-MESO-1
PANC-1
Daoy
JHH-6
A-375
SNU-1077
42-MG-BA
JHOC-5
NCI-H460
Li-7
NCI-H1299
VM-CUB1
SNU-1076
IGR-37
SBC-5
SJSA-1
YD-38
A2058
BFTC-909
IGR-1
FTC-133
EFO-27
OVK18
LS513
BHT-101
CADO-ES1
KELLY
SNU-886
QGP-1
G-402
NCI-H520
SNU-685
SW 1353
Caki-1
VMRC-RCW
SNU-61
SW-1710
PA-TU-8902
PE/CA-PJ15
SW 1573
OV7
TT2609-C02
RMG-I
COLO 668
HEC-1-B
RL95-2
Becker
A101D
NCI-H1581
HCC4006
JHOM-1
SNU-245
SNU-466
PK-1
SK-LU-1
SK-N-BE(2)
MKN1
LUDLU-1
Calu-1
BEN
LCLC-103H
NUGC-4
KMRC-1
KYSE-180
PE/CA-PJ41 (clone D2)
NCI-H1838
MKN74
SK-OV-3
DBTRG-05MG
NCI-H1563
HCC-1359
JHUEM-2
NCI-H1573
PA-TU-8988S
GOS-3
PC-3
JHOS-2
T-47D
VMRC-RCZ
MFE-280
PK-59
DAN-G
LMSU
Calu-6
Hs 852.T
MSTO-211H
NCI-H522
RVH-421
TE-1
OVTOKO
HuH-6
TCCSUP
SK-MEL-30
Hs 939.T
TOV-21G
SNU-C4
NCI-H2077
Panc 02.03
ZR-75-1
EFM-192A
Hs 729
SW 1990
RD
HCC1419
KMRC-3
NCI-H1944
PK-45H
SNU-423
NCI-H1792
TE-6
KYSE-520
MKN7
NCI-H727
NCI-H2087
NCI-H358
NCI-H1048
NCI-H1568
CL-34
COLO 792
HEC-59
253J
PA-TU-8988T
253J-BV
HPAC
KP-2
H4
TE-8
HuH-7
KU-19-19
BxPC-3
HT-29
786-O
SUIT-2
LOX IMVI
ONS-76
MCAS
KMBC-2
FTC-238
LoVo
SW48
IGROV1
HCT 116
639-V
HCT-15
CHL-1
A-673
SNU-398
OE33
SW 780
NCI-H838
CJM
HSC-2
RKN
HCC-78
T98G
LN-229
HCC-44
JHH-5
WM983B
LK-2
BFTC-905
COLO-783
KNS-62
HCC-1438
NCI-H1651
TE-4
HEC-265
OC 314
DU 145
PC-14
RERF-LC-MS
COR-L105
SW579
LOU-NH91
NCI-H2122
IST-MES2
SNU-668
K029AX
TE-5
KNS-60
HCC-95
RT-112
NCI-H2030
OVCAR-8
MDA-MB-231
HSC-3
T3M-10
LN-18
GCT
MDA-MB-468
HCC-1195
MEL-JUSO
EN
SK-ES-1
SIMA
RT4
RERF-LC-AI
OUMS-23
MKN-45
SNU-449
SNU-1196
HCC-56
ABC-1
EBC-1
MDA-MB-436
HOS
HEP 3B2.1-7
SK-MES-1
TE-9
CAMA-1
NCI-H1373
NCI-H1435
HT55
LS 180
HEC-151
HuCCT1
NCI-H292
COV434
RCC10RGB
SNU-1079
BICR 31
DK-MG
LS1034
BT-549
CCF-STTG1
NCI-H226
TEN
BICR 6
SK-MEL-3
Sq-1
RCM-1
SW 900
IA-LM
Caov-3
COLO-680N
SH-10-TC
RERF-LC-Ad1
UM-UC-1
NCI-H2347
BT-474
LNCaP clone FGC
SK-MEL-2
GCIY
8-MG-BA
SNU-213
SF539
MPP 89
PSN1
MG-63
TE-11
A172
BC-3C
SF126
YD-8
Hs 944.T
SNU-1066
NCI-H2023
NB-1
Cal 27
RH-30
FaDu
KYSE-150
KYSE-270
MFE-296
ESS-1
OC 316
Hs 294T
NCI-H1650
ACHN
CFPAC-1
CAL-120
KMRC-20
EC-GI-10
TCC-PAN2
SNB75
T.T
NCI-H1355
RMUG-S
JMSU-1
NCI-H1648
LXF-289
CAL-51
HCC-15
MDA-MB-435S
NCI-H2009
SNG-M
MeWo
S-117
Panc 10.05
U-251 MG
HT-144
U-2 OS
MHH-ES-1
SH-4
MEL-HO
JHH-1
NCI-H28
WM1799
OE19
JIMT-1
SNU-601
NCI-H1703
KYSE-410
HARA
NCI-H661
DV-90
22Rv1
LS411N
LC-1/sq-SF
WM-266-4
MCF7
OV56
TM-87
Detroit 562
SK-N-AS
EWS502
EFO-21
SNU-1105
HCC1143
Panc 08.13
SW 1088
B-CPAP
SNU-410
OVISE
COLO 741
TM-31
HDQ-P1
PE/CA-PJ49
MDA-MB-175-VII
HEC-108
MON
TT
SK-NEP-1
NCI-H2452
HUP-T3
OS-RC-2
Panc 04.03
HCC38
HCC1428
COLO-800
KNS-81
NCI-H2170
RERF-LC-KJ
KNS-42
HT-1376
BICR 56
NCI-H446
SW 1271
WM-88
NCI-H23
NUGC-3
NCI-H2110
NCI-H650
23132/87
SNU-81
HEC-251
NCI-H1693
SNU-308
SCC-25
NCI-H841
TE-10
NCI-H747
769-P
BICR 16
OE21
UACC-257
SNU-1041
TE-14
NCI-H2126
SK-MEL-24
KYSE-140
WM-793
JHH-7
IPC-298
IM95
GP2d
HEC-6
MFE-319
8305C
ONCO-DG-1
U-118 MG
Capan-2
Panc 03.27
SNU-869
NCI-H2444
AsPC-1
HCC1937
KALS-1
COV362
UACC-62
NCI-H1915
NCI-H2228
Malme-3M
TUHR4TKB
SNU-46
CAL-78
IST-MES1
SNU-1214
SK-MEL-5
U-BLC1
NCI-H1623
HuH28
SNU-719
OCI-AML5
MEG-01
KU812
GDM-1
KE-37
SUP-T11
THP-1
L-363
PL-21
EM-2
LAMA-84
SKM-1
KMS-28BM
KMS-20
MOLP-2
KYO-1
RPMI-8402
KASUMI-2
AMO-1
RCH-ACV
PF-382
NALM-6
MOLT-3
DND-41
JURKAT
HH
GRANTA-519
ALL-SIL
JM1
EOL-1
C8166
DEL
JeKo-1
RL
TF-1
NU-DHL-1
RI-1
KHM-1B
MC116
OCI-M1
KM-H2
HT
CHLA57
KOPN-8
MONO-MAC-1
OCI-LY-19
COR-L279
DU4475
JVM-3
NCI-H82
P12-ICHIKAWA
KMS-12-BM
U-937
NCI-H1694
HCC-33
KMS-27
NCI-H211
KMS-18
SCLC-21H
A3/KAW
DMS 79
MM1-S
NCI-H1105
NCI-H524
NCI-H1930
EB1
MONO-MAC-6
KARPAS-299
DOHH-2
Hs 611.T
697
KARPAS-620
TALL-1
HuG1-N
MOLM-13
MOLM-16
HuT 78
WSU-DLCL2
KMS-21BM
CI-1
SEM
SNU-1
HPB-ALL
OCILY132
SKNO1
KE-97
SUP-B15
NCO2
NCI-H1341
NOMO-1
JURL-MK1
SR-786
NCI-H508
TC-71
BV-173
COR-L88
NCI-H1092
NCI-H2171
K562
NCI-H1876
SU-DHL-1
SHP-77
MOLT-16
CML-T1
MDST8
KCL-22
COGE352
COG-AR-359
CHLA15
TC205
Peds005T Susp
HEL
HEL 92.1.7
BDCM
OCI-AML2
BT-12
HD-MY-Z
COLO-320
LP-1
Toledo
NB-4
HCC-2108
OCI-AML3
SK-MM-2
KMS-34
ECC10
U266B1
JJN-3
SU-DHL-8
KMS-11
GSS
KATO III
CAL-148
"G-292, clone A141B1"
TM-87
KP-N-YN
EWS502
MG-63
U-2 OS
EW8
HOS
SJSA-1
CBAGPN
KD
MON
SK-NEP-1
SK-PN-DW
STM91-01
TC-32
TTC-1240
TTC-549
TTC-642
Peds005T_ADH
Peds015T
SK-N-MC
TE 617.T
A-673
G-401
RH-41
HS 729
CADO-ES1
Daoy
KELLY
SK-N-AS
SK-N-BE(2)
Saos-2
TTC-709
KYM1
ONS-76
RH-30
143B
CHLA-06-ATRT
CW9019
JR-1
SMSCTR
Rh28
RhJT
Rh36
RH4
NIH:OVCAR-3
MHH-NB-11
SK-ES-1
SK-N-SH
RD
A-204
SK-N-FI
SK-N-DZ
G-402
MHH-ES-1
NCI-H2004 RT
SNU-489
A-253
NB-1
BICR 18
CW-2
BT-16
CHLA-10
DL
UW228
TC-106
COG-N-278
TTC-442
CH-157MN
U343
Hs 683
SIMA
M059K
LN382
A1207
TE-15
SNU-216
huH-1
SNU-182
CAL-33
IGR-39
A-498
SK-MEL-28
SNU-201
NCI-H441
DMS 53
A427
LNZ308
HEC-50B
KYSE-450
ChaGo-K-1
SW 1783
HT115
HA1E
RD-ES
U-87 MG
Panc 05.04
HUP-T4
CL-11
COV318
AM-38
EFM-19
RPMI-7951
COLO-678
NCI-H647
TYK-nu
EFE-184
CAS-1
GSU
SW1116
KE-39
HT-1197
C32
COV644
SNU-878
SNU-899
EKVX
Hep G2
CCK-81
HPAF-II
CHP-212
RERF-GC-1B
SCC-9
U-178
AU565
KLE
SNU-478
T84
NCI-H2196
OVKATE
SW1463
BHY
KS-1
SNU-119
JL-1
LN-464
HCC1395
NCI-H196
BICR 22
HCC1954
HCC515
MDA-MB-453
MDA-MB-361
JHUEM-7


























































